price,area,bedrooms,address
Giá: 24 tỷ,Diện tích: 40 m²,4 phòng ngủ,"Phố Văn Cao,
                                    Phường Ngọc Hà,
                                    Hà Nội"
"Giá: 10,5 tỷ",Diện tích: 42 m²,3 phòng ngủ,"Đường Kim Mã,
                                    Phường Ngọc Hà,
                                    Hà Nội"
"Giá: 6,5 tỷ",Diện tích: 22 m²,3 phòng ngủ,"Phố Quán Thánh,
                                    Phường Ba Đình,
                                    Hà Nội"
"Giá: 14,6 tỷ",Diện tích: 42 m²,4 phòng ngủ,"Phố Nguyễn Thái Học,
                                    Phường Ba Đình,
                                    Hà Nội"
Giá: 15 tỷ,Diện tích: 55 m²,6 phòng ngủ,"Đường Ngọc Hà,
                                    Phường Ba Đình,
                                    Hà Nội"
Giá: 65 tỷ,Diện tích: 100 m²,10 phòng ngủ,"Phố Linh Lang,
                                    Phường Ngọc Hà,
                                    Hà Nội"
Giá: 70 tỷ,Diện tích: 100 m²,1 phòng ngủ,"Phố Hàng Than,
                                    Phường Ba Đình,
                                    Hà Nội"
"Giá: 9,2 tỷ",Diện tích: 35 m²,3 phòng ngủ,"Phố Đội cấn,
                                    Phường Ba Đình,
                                    Hà Nội"
"Giá: 7,25 tỷ",Diện tích: 47 m²,4 phòng ngủ,"Đường Đê La Thành,
                                    Phường Ba Đình,
                                    Hà Nội"
Giá: 850 triệu,Diện tích: 27 m²,1 phòng ngủ,"Phố Phúc Xá,
                                    Phường Hồng Hà,
                                    Hà Nội"
Giá: 15 tỷ,Diện tích: 46 m²,6 phòng ngủ,"Phố Đội cấn,
                                    Phường Ngọc Hà,
                                    Hà Nội"
"Giá: 7,6 tỷ",Diện tích: 16 m²,2 phòng ngủ,"Phố Cao Bá Quát,
                                    Phường Ba Đình,
                                    Hà Nội"
Giá: 18 tỷ,Diện tích: 52 m²,7 phòng ngủ,"Phố Đội cấn,
                                    Phường Ngọc Hà,
                                    Hà Nội"
Giá: 49 tỷ,Diện tích: 70 m²,1 phòng ngủ,"Phố Ngũ Xã,
                                    Phường Ba Đình,
                                    Hà Nội"
Giá: 17 tỷ,Diện tích: 50 m²,7 phòng ngủ,"Đường Đào Tấn,
                                    Phường Ngọc Hà,
                                    Hà Nội"
Giá: 10 tỷ,Diện tích: 48 m²,4 phòng ngủ,"Đường Kim Mã,
                                    Phường Ngọc Hà,
                                    Hà Nội"
Giá: 15 tỷ,Diện tích: 55 m²,3 phòng ngủ,"Đường Đào Tấn,
                                    Phường Ngọc Hà,
                                    Hà Nội"
Giá: 20 tỷ,Diện tích: 55 m²,3 phòng ngủ,"Đường Kim Mã,
                                    Phường Ba Đình,
                                    Hà Nội"
"Giá: 10,5 tỷ",Diện tích: 37 m²,3 phòng ngủ,"Phố Phan Kế Bính,
                                    Phường Ngọc Hà,
                                    Hà Nội"
"Giá: 9,9 tỷ",Diện tích: 30 m²,3 phòng ngủ,"Phố Đội cấn,
                                    Phường Ngọc Hà,
                                    Hà Nội"
"Giá: 32,5 tỷ / m²",Diện tích: 60 m²,3 phòng ngủ,"Phố Vạn Phúc,
                                    Phường Ba Đình,
                                    Hà Nội"
Giá: 11 tỷ,Diện tích: 57 m²,4 phòng ngủ,"Đường Kim Mã,
                                    Phường Ngọc Hà,
                                    Hà Nội"
"Giá: 16,4 tỷ",Diện tích: 59 m²,4 phòng ngủ,"Phố Huỳnh Thúc Kháng,
                                    Phường Giảng Võ,
                                    Hà Nội"
"Giá: 16,3 tỷ",Diện tích: 60 m²,4 phòng ngủ,"Phố Nguyên Hồng,
                                    Phường Giảng Võ,
                                    Hà Nội"
Giá: 65 tỷ,Diện tích: 100 m²,5 phòng ngủ,"Phố Văn Cao,
                                    Phường Ngọc Hà,
                                    Hà Nội"
"Giá: 7,95 tỷ",Diện tích: 40 m²,3 phòng ngủ,"Phố Giang Văn Minh,
                                    Phường Ngọc Hà,
                                    Hà Nội"
"Giá: 16,8 tỷ",Diện tích: 53 m²,3 phòng ngủ,"Phố Ngọc Khánh,
                                    Phường Giảng Võ,
                                    Hà Nội"
Giá: 16 tỷ,Diện tích: 48 m²,5 phòng ngủ,"Đường Kim Mã,
                                    Phường Ngọc Hà,
                                    Hà Nội"
Giá: 165 tỷ,Diện tích: 121 m²,40 phòng ngủ,"Phố Cửa Bắc,
                                    Phường Ba Đình,
                                    Hà Nội"
"Giá: 15,5 tỷ",Diện tích: 52 m²,5 phòng ngủ,"Phố Ngọc Khánh,
                                    Phường Ngọc Hà,
                                    Hà Nội"
"Giá: 14,85 tỷ",Diện tích: 30 m²,3 phòng ngủ,"Phố Hàng Than,
                                    Phường Ba Đình,
                                    Hà Nội"
"Giá: 5,9 tỷ",Diện tích: 20 m²,3 phòng ngủ,"Phố Đội cấn,
                                    Phường Ba Đình,
                                    Hà Nội"
Giá: 113 tỷ,Diện tích: 145 m²,4 phòng ngủ,"Phố Đội cấn,
                                    Phường Ngọc Hà,
                                    Hà Nội"
Giá: 35 tỷ,Diện tích: 115 m²,26 phòng ngủ,"Đường Đội Nhân,
                                    Phường Ngọc Hà,
                                    Hà Nội"
"Giá: 9,7 tỷ",Diện tích: 35 m²,3 phòng ngủ,"Phố Đội cấn,
                                    Phường Ba Đình,
                                    Hà Nội"
"Giá: 5,95 tỷ",Diện tích: 22 m²,2 phòng ngủ,"Phố Đội cấn,
                                    Phường Ngọc Hà,
                                    Hà Nội"
Giá: 4 tỷ,Diện tích: 25 m²,2 phòng ngủ,"Phố Đội cấn,
                                    Phường Ngọc Hà,
                                    Hà Nội"
"Giá: 21,9 tỷ",Diện tích: 70 m²,4 phòng ngủ,"Đường Đào Tấn,
                                    Phường Ngọc Hà,
                                    Hà Nội"
"Giá: 69,5 tỷ",Diện tích: 295 m²,6 phòng ngủ,"Đường Kim Mã,
                                    Phường Ngọc Hà,
                                    Hà Nội"
"Giá: 10,9 tỷ",Diện tích: 30 m²,3 phòng ngủ,"Đường Kim Mã,
                                    Phường Ngọc Hà,
                                    Hà Nội"
"Giá: 6,5 tỷ",Diện tích: 22 m²,3 phòng ngủ,"Phố Đội cấn,
                                    Phường Ngọc Hà,
                                    Hà Nội"
"Giá: 41,6 tỷ",Diện tích: 120 m²,28 phòng ngủ,"Đường Đào Tấn,
                                    Phường Ngọc Hà,
                                    Hà Nội"
Giá: 800 triệu / m²,Diện tích: 35 m²,3 phòng ngủ,"Phố Yên Ninh,
                                    Phường Ba Đình,
                                    Hà Nội"
Giá: 48 tỷ,Diện tích: 156 m²,32 phòng ngủ,"Phố Linh Lang,
                                    Phường Giảng Võ,
                                    Hà Nội"
Giá: 46 tỷ,Diện tích: 145 m²,27 phòng ngủ,"Phố Ngọc Khánh,
                                    Phường Giảng Võ,
                                    Hà Nội"
Giá: 51 tỷ,Diện tích: 163 m²,32 phòng ngủ,"Đường Giảng Võ,
                                    Phường Giảng Võ,
                                    Hà Nội"
Giá: 54 tỷ,Diện tích: 171 m²,32 phòng ngủ,"Đường Đào Tấn,
                                    Phường Giảng Võ,
                                    Hà Nội"
Giá: 55 tỷ,Diện tích: 186 m²,22 phòng ngủ,"Phố Láng Hạ,
                                    Phường Giảng Võ,
                                    Hà Nội"
Giá: 57 tỷ,Diện tích: 191 m²,32 phòng ngủ,"Đường Kim Mã,
                                    Phường Ngọc Hà,
                                    Hà Nội"
Giá: 66 tỷ,Diện tích: 207 m²,44 phòng ngủ,"Phố Ngọc Khánh,
                                    Phường Giảng Võ,
                                    Hà Nội"
Giá: 68 tỷ,Diện tích: 213 m²,44 phòng ngủ,"Phố Linh Lang,
                                    Phường Giảng Võ,
                                    Hà Nội"
Giá: 73 tỷ,Diện tích: 226 m²,44 phòng ngủ,"Đường Giảng Võ,
                                    Phường Giảng Võ,
                                    Hà Nội"
Giá: 79 tỷ,Diện tích: 238 m²,44 phòng ngủ,"Đường Đào Tấn,
                                    Phường Giảng Võ,
                                    Hà Nội"
Giá: 86 tỷ,Diện tích: 246 m²,N/A,"Đường Kim Mã,
                                    Phường Ngọc Hà,
                                    Hà Nội"
Giá: 82 tỷ,Diện tích: 246 m²,44 phòng ngủ,"Phố Láng Hạ,
                                    Phường Giảng Võ,
                                    Hà Nội"
Giá: 91 tỷ,Diện tích: 266 m²,44 phòng ngủ,"Phố Ngọc Khánh,
                                    Phường Giảng Võ,
                                    Hà Nội"
Giá: 34 tỷ,Diện tích: 111 m²,21 phòng ngủ,"Đường Đào Tấn,
                                    Phường Giảng Võ,
                                    Hà Nội"
Giá: 29 tỷ,Diện tích: 102 m²,21 phòng ngủ,"Đường Giảng Võ,
                                    Phường Giảng Võ,
                                    Hà Nội"
Giá: 44 tỷ,Diện tích: 122 m²,21 phòng ngủ,"Phố Láng Hạ,
                                    Phường Giảng Võ,
                                    Hà Nội"
Giá: 47 tỷ,Diện tích: 136 m²,22 phòng ngủ,"Đường Kim Mã,
                                    Phường Giảng Võ,
                                    Hà Nội"
Giá: 220 tỷ,Diện tích: 282 m²,5 phòng ngủ,"Phố Hòe Nhai,
                                    Phường Ba Đình,
                                    Hà Nội"
Giá: 330 tỷ,Diện tích: 486 m²,11 phòng ngủ,"Đường Hoàng Hoa Thám,
                                    Phường Ngọc Hà,
                                    Hà Nội"
Giá: 190 tỷ,Diện tích: 268 m²,9 phòng ngủ,"Phố Kim Mã Thượng,
                                    Phường Ngọc Hà,
                                    Hà Nội"
Giá: 225 tỷ,Diện tích: 468 m²,10 phòng ngủ,"Đường Kim Mã,
                                    Phường Ngọc Hà,
                                    Hà Nội"
Giá: 250 tỷ,Diện tích: 380 m²,9 phòng ngủ,"Phố Lạc Chính,
                                    Phường Ba Đình,
                                    Hà Nội"
Giá: 190 tỷ,Diện tích: 288 m²,10 phòng ngủ,"Đường Lê Trực,
                                    Phường Ba Đình,
                                    Hà Nội"
Giá: 165 tỷ,Diện tích: 239 m²,8 phòng ngủ,"Phố Liễu Giai,
                                    Phường Ngọc Hà,
                                    Hà Nội"
