price,area,bedrooms,address
"Giá: 17,2 tỷ",Diện tích: 93 m²,2 phòng ngủ,"Đường Xuân Đỉnh,
                                    Phường Xuân Đỉnh,
                                    Hà Nội"
Giá: 23 tỷ,Diện tích: 71 m²,N/A,"Đường Xuân Đỉnh,
                                    Phường Xuân Đỉnh,
                                    Hà Nội"
"Giá: 10,5 tỷ",Diện tích: 39 m²,3 phòng ngủ,"Đường Xuân Đỉnh,
                                    Phường Xuân Đỉnh,
                                    Hà Nội"
"Giá: 17,5 tỷ",Diện tích: 60 m²,N/A,"Đường Xuân Đỉnh,
                                    Phường Xuân Đỉnh,
                                    Hà Nội"
"Giá: 8,6 tỷ",Diện tích: 38 m²,4 phòng ngủ,"Đường Xuân Đỉnh,
                                    Phường Xuân Đỉnh,
                                    Hà Nội"
"Giá: 8,688 tỷ",Diện tích: 35 m²,5 phòng ngủ,"Đường Xuân Đỉnh,
                                    Phường Xuân Đỉnh,
                                    Hà Nội"
"Giá: 14,8 tỷ",Diện tích: 42 m²,4 phòng ngủ,"Đường Đỗ Nhuận,
                                    Phường Xuân Đỉnh,
                                    Hà Nội"
"Giá: 20,5 tỷ",Diện tích: 70 m²,4 phòng ngủ,"Đường Hoàng Công Chất,
                                    Phường Phú Diễn,
                                    Hà Nội"
"Giá: 19,5 tỷ",Diện tích: 75 m²,8 phòng ngủ,"Đường Hoàng Công Chất,
                                    Phường Phú Diễn,
                                    Hà Nội"
Giá: 59 ngàn,Diện tích: 222 m²,N/A,"Đường Đỗ Nhuận,
                                    Phường Xuân Đỉnh,
                                    Hà Nội"
"Giá: 8,8 tỷ",Diện tích: 38 m²,5 phòng ngủ,"Đường Xuân Đỉnh,
                                    Phường Xuân Đỉnh,
                                    Hà Nội"
Giá: 11 tỷ,Diện tích: 43 m²,4 phòng ngủ,"Đường Xuân Đỉnh,
                                    Phường Xuân Đỉnh,
                                    Hà Nội"
Giá: 8 tỷ,Diện tích: 40 m²,6 phòng ngủ,"Đường Cầu Diễn,
                                    Phường Phú Diễn,
                                    Hà Nội"
"Giá: 4,7 tỷ",Diện tích: 70 m²,2 phòng ngủ,"Đường Tân Xuân,
                                    Phường Đông Ngạc,
                                    Hà Nội"
Giá: 58 tỷ,Diện tích: 272 m²,N/A,"Đường Xuân Đỉnh,
                                    Phường Xuân Đỉnh,
                                    Hà Nội"
Giá: 47 tỷ,Diện tích: 144 m²,7 phòng ngủ,"Đường Đức Diễn,
                                    Phường Phú Diễn,
                                    Hà Nội"
Giá: 25 tỷ,Diện tích: 90 m²,24 phòng ngủ,"Đường Xuân Đỉnh,
                                    Phường Xuân Đỉnh,
                                    Hà Nội"
Giá: 12 tỷ,Diện tích: 107 m²,7 phòng ngủ,"Đường Tân Xuân,
                                    Phường Đông Ngạc,
                                    Hà Nội"
"Giá: 8,48 tỷ",Diện tích: 57 m²,N/A,"Đường Đức Thắng,
                                    Phường Đông Ngạc,
                                    Hà Nội"
"Giá: 9,2 tỷ",Diện tích: 90 m²,1 phòng ngủ,"Đường Xuân Đỉnh,
                                    Phường Xuân Đỉnh,
                                    Hà Nội"
"Giá: 9,85 tỷ",Diện tích: 52 m²,9 phòng ngủ,"Đường Đức Diễn,
                                    Phường Phú Diễn,
                                    Hà Nội"
"Giá: 16,2 tỷ",Diện tích: 30 m²,3 phòng ngủ,"Đường Xuân Đỉnh,
                                    Phường Xuân Đỉnh,
                                    Hà Nội"
"Giá: 12,9 tỷ",Diện tích: 121 m²,3 phòng ngủ,"Đường Hồ Tùng Mậu,
                                    Phường Phú Diễn,
                                    Hà Nội"
"Giá: 24,2 tỷ",Diện tích: 101 m²,22 phòng ngủ,"Đường Kẻ Vẽ,
                                    Phường Đông Ngạc,
                                    Hà Nội"
"Giá: 11,5 tỷ",Diện tích: 41 m²,5 phòng ngủ,"Đường Thụy Phương,
                                    Phường Thượng Cát,
                                    Hà Nội"
"Giá: 13,5 tỷ",Diện tích: 50 m²,6 phòng ngủ,"Đường Cầu Diễn,
                                    Phường Tây Tựu,
                                    Hà Nội"
Giá: 17 tỷ,Diện tích: 100 m²,24 phòng ngủ,"Đường Cầu Diễn,
                                    Phường Phú Diễn,
                                    Hà Nội"
"Giá: 9,9 tỷ",Diện tích: 45 m²,10 phòng ngủ,"Đường Phú Diễn,
                                    Phường Phú Diễn,
                                    Hà Nội"
Giá: 21 tỷ,Diện tích: 75 m²,23 phòng ngủ,"Đường Đình Quán,
                                    Phường Tây Tựu,
                                    Hà Nội"
"Giá: 16,5 tỷ",Diện tích: 100 m²,25 phòng ngủ,"Đường Cầu Diễn,
                                    Phường Tây Tựu,
                                    Hà Nội"
"Giá: 16,5 tỷ",Diện tích: 100 m²,24 phòng ngủ,"Đường Văn Tiến Dũng,
                                    Phường Phú Diễn,
                                    Hà Nội"
"Giá: 13,5 tỷ",Diện tích: 55 m²,12 phòng ngủ,"Đường Nguyên Xá,
                                    Phường Tây Tựu,
                                    Hà Nội"
"Giá: 9,5 tỷ",Diện tích: 50 m²,11 phòng ngủ,"Đường Cầu Diễn,
                                    Phường Tây Tựu,
                                    Hà Nội"
"Giá: 9,5 tỷ",Diện tích: 51 m²,11 phòng ngủ,"Đường Cầu Diễn,
                                    Phường Tây Tựu,
                                    Hà Nội"
"Giá: 6,75 tỷ",Diện tích: 36 m²,7 phòng ngủ,"Đường Nguyên Xá,
                                    Phường Tây Tựu,
                                    Hà Nội"
"Giá: 7,9 tỷ",Diện tích: 35 m²,3 phòng ngủ,"Đường Cầu Diễn,
                                    Phường Phú Diễn,
                                    Hà Nội"
"Giá: 8,6 tỷ",Diện tích: 40 m²,4 phòng ngủ,"Đường Kiều Mai,
                                    Phường Phú Diễn,
                                    Hà Nội"
"Giá: 6,2 tỷ",Diện tích: 35 m²,3 phòng ngủ,"Đường Đình Quán,
                                    Phường Tây Tựu,
                                    Hà Nội"
"Giá: 6,3 tỷ",Diện tích: 35 m²,3 phòng ngủ,"Đường Văn Tiến Dũng,
                                    Phường Phú Diễn,
                                    Hà Nội"
"Giá: 12,3 tỷ",Diện tích: 50 m²,6 phòng ngủ,"Đường Cầu Diễn,
                                    Phường Tây Tựu,
                                    Hà Nội"
"Giá: 7,7 tỷ",Diện tích: 40 m²,4 phòng ngủ,"Đường Đức Diễn,
                                    Phường Phú Diễn,
                                    Hà Nội"
"Giá: 8,85 tỷ",Diện tích: 55 m²,4 phòng ngủ,"Đường Đức Diễn,
                                    Phường Phú Diễn,
                                    Hà Nội"
"Giá: 7,2 tỷ",Diện tích: 57 m²,N/A,"Đường Yên Nội,
                                    Phường Thượng Cát,
                                    Hà Nội"
"Giá: 21,5 tỷ",Diện tích: 167 m²,N/A,"Đường Liên Mạc,
                                    Phường Thượng Cát,
                                    Hà Nội"
