price,area,bedrooms,address
Giá: 65 tỷ,Diện tích: 114 m²,4 phòng ngủ,"Đường Mạc Thái Tổ,
                                    Phường Yên Hòa,
                                    Hà Nội"
"Giá: 20,9 tỷ",Diện tích: 88 m²,30 phòng ngủ,"Đường Dịch Vọng,
                                    Phường Cầu Giấy,
                                    Hà Nội"
"Giá: 12,2 tỷ",Diện tích: 39 m²,6 phòng ngủ,"Đường Nguyễn Khánh Toàn,
                                    Phường Nghĩa Đô,
                                    Hà Nội"
"Giá: 91,9 tỷ",Diện tích: 307 m²,5 phòng ngủ,"Đường Thành Thái,
                                    Phường Cầu Giấy,
                                    Hà Nội"
Giá: 23 tỷ,Diện tích: 60 m²,6 phòng ngủ,"Đường Khuất Duy Tiến,
                                    Phường Yên Hòa,
                                    Hà Nội"
Giá: 24 tỷ,Diện tích: 75 m²,5 phòng ngủ,"Đường Trần Duy Hưng,
                                    Phường Yên Hòa,
                                    Hà Nội"
"Giá: 6,1 tỷ",Diện tích: 62 m²,2 phòng ngủ,"Phố Vũ Phạm Hàm,
                                    Phường Cầu Giấy,
                                    Hà Nội"
Giá: 10 tỷ,Diện tích: 41 m²,3 phòng ngủ,"Đường Yên Hòa,
                                    Phường Yên Hòa,
                                    Hà Nội"
Giá: 24 tỷ,Diện tích: 70 m²,5 phòng ngủ,"Phố Phạm Tuấn Tài,
                                    Phường Cầu Giấy,
                                    Hà Nội"
Giá: 16 tỷ,Diện tích: 47 m²,5 phòng ngủ,"Đường Mai Dịch,
                                    Phường Phú Diễn,
                                    Hà Nội"
"Giá: 22,8 tỷ",Diện tích: 40 m²,5 phòng ngủ,"Phố Trần Đăng Ninh,
                                    Phường Nghĩa Đô,
                                    Hà Nội"
Giá: 54 tỷ,Diện tích: 204 m²,5 phòng ngủ,"Đường Võ Chí Công,
                                    Phường Nghĩa Đô,
                                    Hà Nội"
Giá: 12 tỷ,Diện tích: 40 m²,4 phòng ngủ,"Đường Cầu Giấy,
                                    Phường Cầu Giấy,
                                    Hà Nội"
Giá: 95 triệu / m²,Diện tích: 122 m²,2 phòng ngủ,"Đường Hoàng Đạo Thúy,
                                    Phường Yên Hòa,
                                    Hà Nội"
"Giá: 25,9 tỷ",Diện tích: 100 m²,36 phòng ngủ,"Phố Trần Quốc Vượng,
                                    Phường Cầu Giấy,
                                    Hà Nội"
"Giá: 4,68 tỷ",Diện tích: 50 m²,2 phòng ngủ,"Đường Hoàng Quốc Việt,
                                    Phường Nghĩa Đô,
                                    Hà Nội"
"Giá: 5,65 tỷ",Diện tích: 46 m²,2 phòng ngủ,"Phố Nghĩa Đô,
                                    Phường Nghĩa Đô,
                                    Hà Nội"
"Giá: 7,3 tỷ",Diện tích: 96 m²,3 phòng ngủ,"Đường Hồ Tùng Mậu,
                                    Phường Phú Diễn,
                                    Hà Nội"
"Giá: 8,1 tỷ",Diện tích: 90 m²,3 phòng ngủ,"Đường Cầu Giấy,
                                    Phường Cầu Giấy,
                                    Hà Nội"
"Giá: 5,99 tỷ",Diện tích: 71 m²,2 phòng ngủ,"Đường Lê Đức Thọ,
                                    Phường Phú Diễn,
                                    Hà Nội"
"Giá: 5,25 tỷ",Diện tích: 46 m²,1 phòng ngủ,"Phố Nghĩa Đô,
                                    Phường Nghĩa Đô,
                                    Hà Nội"
"Giá: 13,85 tỷ",Diện tích: 38 m²,3 phòng ngủ,"Đường Hồ Tùng Mậu,
                                    Phường Phú Diễn,
                                    Hà Nội"
"Giá: 14,7 tỷ",Diện tích: 65 m²,N/A,"Phố Nguyễn Đình Hoàn,
                                    Phường Cầu Giấy,
                                    Hà Nội"
Giá: 23 tỷ,Diện tích: 65 m²,5 phòng ngủ,"Đường Khuất Duy Tiến,
                                    Phường Yên Hòa,
                                    Hà Nội"
"Giá: 9,5 tỷ",Diện tích: 32 m²,4 phòng ngủ,"Đường Phạm Văn Đồng,
                                    Phường Cầu Giấy,
                                    Hà Nội"
Giá: 51 tỷ,Diện tích: 150 m²,1 phòng ngủ,"Phố Duy Tân,
                                    Phường Cầu Giấy,
                                    Hà Nội"
"Giá: 22,7 tỷ",Diện tích: 70 m²,4 phòng ngủ,"Đường Cầu Giấy,
                                    Phường Nghĩa Đô,
                                    Hà Nội"
"Giá: 38,6 tỷ",Diện tích: 100 m²,22 phòng ngủ,"Đường Võ Chí Công,
                                    Phường Nghĩa Đô,
                                    Hà Nội"
"Giá: 91,9 tỷ",Diện tích: 310 m²,5 phòng ngủ,"Đường Thành Thái,
                                    Phường Cầu Giấy,
                                    Hà Nội"
"Giá: 12,19 tỷ",Diện tích: 38 m²,6 phòng ngủ,"Phố Dương Quảng Hàm,
                                    Phường Nghĩa Đô,
                                    Hà Nội"
"Giá: 6,6 tỷ",Diện tích: 63 m²,3 phòng ngủ,"Phố Trần Quý Kiên,
                                    Phường Cầu Giấy,
                                    Hà Nội"
"Giá: 17,8 tỷ",Diện tích: 53 m²,15 phòng ngủ,"Đường Cầu Giấy,
                                    Phường Cầu Giấy,
                                    Hà Nội"
"Giá: 21,8 tỷ",Diện tích: 65 m²,6 phòng ngủ,"Đường Cầu Giấy,
                                    Phường Cầu Giấy,
                                    Hà Nội"
Giá: 32 tỷ,Diện tích: 90 m²,4 phòng ngủ,"Đường Phạm Hùng,
                                    Phường Cầu Giấy,
                                    Hà Nội"
Giá: 22 tỷ,Diện tích: 68 m²,N/A,"Đường Cầu Giấy,
                                    Phường Cầu Giấy,
                                    Hà Nội"
"Giá: 18,5 tỷ",Diện tích: 55 m²,5 phòng ngủ,"Phố Hoàng Sâm,
                                    Phường Nghĩa Đô,
                                    Hà Nội"
"Giá: 16,8 tỷ",Diện tích: 42 m²,N/A,"Phố Phan Văn Trường,
                                    Phường Nghĩa Đô,
                                    Hà Nội"
"Giá: 5,75 tỷ",Diện tích: 62 m²,2 phòng ngủ,"Phố Trần Quý Kiên,
                                    Phường Cầu Giấy,
                                    Hà Nội"
"Giá: 21,4 triệu",Diện tích: 51 m²,5 phòng ngủ,"Phố Trung Kính,
                                    Phường Yên Hòa,
                                    Hà Nội"
Giá: 19 tỷ,Diện tích: 52 m²,4 phòng ngủ,"Phố Dương Quảng Hàm,
                                    Phường Cầu Giấy,
                                    Hà Nội"
"Giá: 27,5 tỷ",Diện tích: 55 m²,10 phòng ngủ,"Phố Phạm Tuấn Tài,
                                    Phường Cầu Giấy,
                                    Hà Nội"
Giá: 48 tỷ,Diện tích: 95 m²,20 phòng ngủ,"Phố Phùng Chí Kiên,
                                    Phường Nghĩa Đô,
                                    Hà Nội"
Giá: 10 tỷ,Diện tích: 42 m²,4 phòng ngủ,"Đường Xuân Thủy,
                                    Phường Cầu Giấy,
                                    Hà Nội"
Giá: 11 tỷ,Diện tích: 35 m²,4 phòng ngủ,"Đường Phạm Văn Đồng,
                                    Phường Cầu Giấy,
                                    Hà Nội"
Giá: 15 tỷ,Diện tích: 48 m²,4 phòng ngủ,"Phố Trần Quốc Vượng,
                                    Phường Cầu Giấy,
                                    Hà Nội"
Giá: 8 tỷ,Diện tích: 42 m²,3 phòng ngủ,"Phố Doãn Kế Thiện,
                                    Phường Cầu Giấy,
                                    Hà Nội"
Giá: 8 tỷ,Diện tích: 38 m²,3 phòng ngủ,"Đường Hồ Tùng Mậu,
                                    Phường Phú Diễn,
                                    Hà Nội"
Giá: 7 tỷ,Diện tích: 34 m²,3 phòng ngủ,"Đường Yên Hòa,
                                    Phường Yên Hòa,
                                    Hà Nội"
Giá: 7 tỷ,Diện tích: 33 m²,3 phòng ngủ,"Đường Phạm Văn Đồng,
                                    Phường Phú Diễn,
                                    Hà Nội"
Giá: 37 tỷ,Diện tích: 110 m²,15 phòng ngủ,"Đường Cầu Giấy,
                                    Phường Nghĩa Đô,
                                    Hà Nội"
"Giá: 10,9 tỷ",Diện tích: 55 m²,4 phòng ngủ,"Phố Trần Thái Tông,
                                    Phường Cầu Giấy,
                                    Hà Nội"
Giá: 9 tỷ,Diện tích: 50 m²,5 phòng ngủ,"Phố Duy Tân,
                                    Phường Cầu Giấy,
                                    Hà Nội"
Giá: 48 tỷ,Diện tích: 90 m²,5 phòng ngủ,"Đường Nguyễn Văn Huyên,
                                    Phường Nghĩa Đô,
                                    Hà Nội"
Giá: 89 tỷ,Diện tích: 140 m²,4 phòng ngủ,"Đường Dương Khuê,
                                    Phường Phú Diễn,
                                    Hà Nội"
"Giá: 12,1 tỷ",Diện tích: 39 m²,4 phòng ngủ,"Đường Nguyễn Khánh Toàn,
                                    Phường Nghĩa Đô,
                                    Hà Nội"
"Giá: 5,3 tỷ",Diện tích: 60 m²,2 phòng ngủ,"Đường Nguyễn Thị Duệ,
                                    Phường Yên Hòa,
                                    Hà Nội"
Giá: 21 tỷ,Diện tích: 63 m²,6 phòng ngủ,"Phố Trung Kính,
                                    Phường Yên Hòa,
                                    Hà Nội"
Giá: 89 tỷ,Diện tích: 136 m²,6 phòng ngủ,"Đường Dương Khuê,
                                    Phường Cầu Giấy,
                                    Hà Nội"
"Giá: 28,5 tỷ",Diện tích: 70 m²,10 phòng ngủ,"Đường Mai Dịch,
                                    Phường Phú Diễn,
                                    Hà Nội"
"Giá: 19,5 tỷ",Diện tích: 105 m²,7 phòng ngủ,"Phố Trần Cung,
                                    Phường Nghĩa Đô,
                                    Hà Nội"
"Giá: 25,5 tỷ",Diện tích: 45 m²,4 phòng ngủ,"Đường Nguyễn Thị Định,
                                    Phường Yên Hòa,
                                    Hà Nội"
"Giá: 31,5 tỷ",Diện tích: 64 m²,5 phòng ngủ,"Đường Hoàng Quốc Việt,
                                    Phường Nghĩa Đô,
                                    Hà Nội"
Giá: 19 tỷ,Diện tích: 60 m²,4 phòng ngủ,"Phố Trần Đăng Ninh,
                                    Phường Cầu Giấy,
                                    Hà Nội"
"Giá: 27,8 tỷ",Diện tích: 60 m²,7 phòng ngủ,"Phố Trung Kính,
                                    Phường Yên Hòa,
                                    Hà Nội"
"Giá: 24,5 tỷ",Diện tích: 45 m²,5 phòng ngủ,"Đường Hồ Tùng Mậu,
                                    Phường Phú Diễn,
                                    Hà Nội"
Giá: 19 tỷ,Diện tích: 52 m²,4 phòng ngủ,"Phố Nghĩa Đô,
                                    Phường Nghĩa Đô,
                                    Hà Nội"
Giá: 37 tỷ,Diện tích: 90 m²,N/A,"Đường Nguyễn Văn Huyên,
                                    Phường Nghĩa Đô,
                                    Hà Nội"
Giá: 36 tỷ,Diện tích: 65 m²,8 phòng ngủ,"Đường Hoàng Quốc Việt,
                                    Phường Nghĩa Đô,
                                    Hà Nội"
Giá: 20 tỷ,Diện tích: 55 m²,4 phòng ngủ,"Phố Hoàng Sâm,
                                    Phường Nghĩa Đô,
                                    Hà Nội"
Giá: 22 tỷ,Diện tích: 55 m²,6 phòng ngủ,"Đường Hoàng Quốc Việt,
                                    Phường Nghĩa Đô,
                                    Hà Nội"
"Giá: 17,8 tỷ",Diện tích: 35 m²,2 phòng ngủ,"Đường Trương Công Giai,
                                    Phường Cầu Giấy,
                                    Hà Nội"
Giá: 28 tỷ,Diện tích: 69 m²,8 phòng ngủ,"Đường Mai Dịch,
                                    Phường Phú Diễn,
                                    Hà Nội"
"Giá: 5,7 tỷ",Diện tích: 63 m²,2 phòng ngủ,"Đường Nguyễn Chánh,
                                    Phường Yên Hòa,
                                    Hà Nội"
"Giá: 10,9 tỷ",Diện tích: 40 m²,4 phòng ngủ,"Đường Hồ Tùng Mậu,
                                    Phường Phú Diễn,
                                    Hà Nội"
Giá: 445 tỷ,Diện tích: 520 m²,86 phòng ngủ,"Đường Nguyễn Thị Định,
                                    Phường Cầu Giấy,
                                    Hà Nội"
Giá: 66 tỷ,Diện tích: 139 m²,1 phòng ngủ,"Phố Trung Kính,
                                    Phường Yên Hòa,
                                    Hà Nội"
"Giá: 9,6 tỷ",Diện tích: 33 m²,3 phòng ngủ,"Đường Yên Hòa,
                                    Phường Yên Hòa,
                                    Hà Nội"
Giá: 88 tỷ,Diện tích: 180 m²,N/A,"Đường Nguyễn Hoàng,
                                    Phường Cầu Giấy,
                                    Hà Nội"
"Giá: 13,2 tỷ",Diện tích: 48 m²,4 phòng ngủ,"Phố Nguyễn Đình Hoàn,
                                    Phường Nghĩa Đô,
                                    Hà Nội"
Giá: 8 tỷ,Diện tích: 40 m²,4 phòng ngủ,"Đường Trần Duy Hưng,
                                    Phường Yên Hòa,
                                    Hà Nội"
"Giá: 17,2 tỷ",Diện tích: 60 m²,15 phòng ngủ,"Đường Cầu Giấy,
                                    Phường Nghĩa Đô,
                                    Hà Nội"
Giá: 19 tỷ,Diện tích: 85 m²,4 phòng ngủ,"Đường Cầu Giấy,
                                    Phường Nghĩa Đô,
                                    Hà Nội"
"Giá: 6,59 tỷ",Diện tích: 68 m²,3 phòng ngủ,"Phố Nghĩa Đô,
                                    Phường Nghĩa Đô,
                                    Hà Nội"
"Giá: 11,5 tỷ",Diện tích: 111 m²,3 phòng ngủ,"Phố Trung Kính,
                                    Phường Yên Hòa,
                                    Hà Nội"
Giá: 20 tỷ,Diện tích: 60 m²,16 phòng ngủ,"Đường Phạm Văn Đồng,
                                    Phường Phú Diễn,
                                    Hà Nội"
Giá: 55 tỷ,Diện tích: 142 m²,3 phòng ngủ,"Phố Trần Cung,
                                    Phường Nghĩa Đô,
                                    Hà Nội"
Giá: 79 tỷ,Diện tích: 120 m²,N/A,"Đường Lê Văn Lương,
                                    Phường Yên Hòa,
                                    Hà Nội"
"Giá: 15,5 tỷ",Diện tích: 49 m²,4 phòng ngủ,"Đường Trần Duy Hưng,
                                    Phường Yên Hòa,
                                    Hà Nội"
Giá: 20 tỷ,Diện tích: 69 m²,6 phòng ngủ,"Phố Duy Tân,
                                    Phường Cầu Giấy,
                                    Hà Nội"
Giá: 110 tỷ,Diện tích: 150 m²,3 phòng ngủ,"Phố Dịch Vọng Hậu,
                                    Phường Cầu Giấy,
                                    Hà Nội"
Giá: 160 tỷ,Diện tích: 235 m²,18 phòng ngủ,"Phố Quan Hoa,
                                    Phường Nghĩa Đô,
                                    Hà Nội"
Giá: 64 tỷ,Diện tích: 112 m²,3 phòng ngủ,"Phố Trần Tử Bình,
                                    Phường Nghĩa Đô,
                                    Hà Nội"
Giá: 22 tỷ,Diện tích: 48 m²,12 phòng ngủ,"Phố Nguyễn Đình Hoàn,
                                    Phường Nghĩa Đô,
                                    Hà Nội"
Giá: 24 tỷ,Diện tích: 56 m²,16 phòng ngủ,"Đường Nguyễn Khánh Toàn,
                                    Phường Nghĩa Đô,
                                    Hà Nội"
Giá: 39 tỷ,Diện tích: 122 m²,32 phòng ngủ,"Phố Trần Đăng Ninh,
                                    Phường Nghĩa Đô,
                                    Hà Nội"
Giá: 44 tỷ,Diện tích: 136 m²,32 phòng ngủ,"Phố Trần Quốc Hoàn,
                                    Phường Nghĩa Đô,
                                    Hà Nội"
Giá: 45 tỷ,Diện tích: 145 m²,32 phòng ngủ,"Phố Trần Thái Tông,
                                    Phường Nghĩa Đô,
                                    Hà Nội"
Giá: 48 tỷ,Diện tích: 155 m²,32 phòng ngủ,"Phố Trần Tử Bình,
                                    Phường Nghĩa Đô,
                                    Hà Nội"
Giá: 95 tỷ,Diện tích: 355 m²,5 phòng ngủ,"Phố Trung Kính,
                                    Phường Yên Hòa,
                                    Hà Nội"
Giá: 93 tỷ,Diện tích: 320 m²,6 phòng ngủ,"Đường Thành Thái,
                                    Phường Cầu Giấy,
                                    Hà Nội"
Giá: 90 tỷ,Diện tích: 340 m²,6 phòng ngủ,"Đường Trần Kim Xuyến,
                                    Phường Yên Hòa,
                                    Hà Nội"
Giá: 74 tỷ,Diện tích: 140 m²,34 phòng ngủ,"Phố Trần Quốc Vượng,
                                    Phường Cầu Giấy,
                                    Hà Nội"
Giá: 46 tỷ,Diện tích: 125 m²,5 phòng ngủ,"Đường Hoàng Quốc Việt,
                                    Phường Nghĩa Đô,
                                    Hà Nội"
Giá: 70 tỷ,Diện tích: 140 m²,38 phòng ngủ,"Phố Dịch Vọng Hậu,
                                    Phường Cầu Giấy,
                                    Hà Nội"
Giá: 72 tỷ,Diện tích: 132 m²,34 phòng ngủ,"Phố Trần Quốc Vượng,
                                    Phường Cầu Giấy,
                                    Hà Nội"
Giá: 100 tỷ,Diện tích: 270 m²,8 phòng ngủ,"Phố Trần Thái Tông,
                                    Phường Cầu Giấy,
                                    Hà Nội"
Giá: 172 tỷ,Diện tích: 400 m²,7 phòng ngủ,"Đường Lạc Long Quân,
                                    Phường Nghĩa Đô,
                                    Hà Nội"
Giá: 56 tỷ,Diện tích: 120 m²,7 phòng ngủ,"Đường Hoàng Quốc Việt,
                                    Phường Nghĩa Đô,
                                    Hà Nội"
"Giá: 10,8 tỷ",Diện tích: 88 m²,6 phòng ngủ,"Đường Võ Chí Công,
                                    Phường Nghĩa Đô,
                                    Hà Nội"
"Giá: 16,2 tỷ",Diện tích: 52 m²,6 phòng ngủ,"Đường Cầu Giấy,
                                    Phường Cầu Giấy,
                                    Hà Nội"
"Giá: 17,7 tỷ",Diện tích: 95 m²,7 phòng ngủ,"Phố Trung Kính,
                                    Phường Yên Hòa,
                                    Hà Nội"
Giá: 41 tỷ,Diện tích: 216 m²,4 phòng ngủ,"Đường Hoàng Quốc Việt,
                                    Phường Nghĩa Đô,
                                    Hà Nội"
Giá: 21 tỷ,Diện tích: 75 m²,7 phòng ngủ,"Đường Nguyễn Thị Định,
                                    Phường Yên Hòa,
                                    Hà Nội"
"Giá: 10,8 tỷ",Diện tích: 50 m²,9 phòng ngủ,"Đường Xuân Thủy,
                                    Phường Cầu Giấy,
                                    Hà Nội"
Giá: 15 tỷ,Diện tích: 73 m²,7 phòng ngủ,"Đường Hoàng Quốc Việt,
                                    Phường Nghĩa Đô,
                                    Hà Nội"
Giá: 43 tỷ,Diện tích: 70 m²,6 phòng ngủ,"Đường Trần Duy Hưng,
                                    Phường Yên Hòa,
                                    Hà Nội"
Giá: 9 tỷ,Diện tích: 47 m²,8 phòng ngủ,"Phố Phùng Chí Kiên,
                                    Phường Nghĩa Đô,
                                    Hà Nội"
"Giá: 6,77 tỷ",Diện tích: 67 m²,2 phòng ngủ,"Đường Võ Chí Công,
                                    Phường Nghĩa Đô,
                                    Hà Nội"
