price,area,bedrooms,address
"Giá: 12,05 tỷ",Diện tích: 60 m²,12 phòng ngủ,"Phố Nguyễn Lương Bằng,
                                    Phường Ô Chợ Dừa,
                                    Hà Nội"
Giá: 15 tỷ,Diện tích: 45 m²,5 phòng ngủ,"Phố Ngô Sĩ Liên,
                                    Phường Văn Miếu - Quốc Tử Giám,
                                    Hà Nội"
"Giá: 14,9 tỷ",Diện tích: 60 m²,4 phòng ngủ,"Phố Thái Hà,
                                    Phường Đống Đa,
                                    Hà Nội"
Giá: 36 tỷ,Diện tích: 55 m²,2 phòng ngủ,"Đường La Thành,
                                    Phường Ô Chợ Dừa,
                                    Hà Nội"
"Giá: 6,2 tỷ",Diện tích: 28 m²,3 phòng ngủ,"Phố Nguyễn Lương Bằng,
                                    Phường Đống Đa,
                                    Hà Nội"
Giá: 37 tỷ,Diện tích: 56 m²,7 phòng ngủ,"Đường Tam Khương,
                                    Phường Kim Liên,
                                    Hà Nội"
"Giá: 25,9 tỷ",Diện tích: 110 m²,28 phòng ngủ,"Phố Vũ Ngọc Phan,
                                    Phường Láng,
                                    Hà Nội"
"Giá: 34,9 tỷ",Diện tích: 150 m²,28 phòng ngủ,"Đường Hồ Ba Mẫu,
                                    Phường Văn Miếu - Quốc Tử Giám,
                                    Hà Nội"
"Giá: 14,9 tỷ",Diện tích: 75 m²,15 phòng ngủ,"Phố Hào Nam,
                                    Phường Ô Chợ Dừa,
                                    Hà Nội"
"Giá: 18,5 tỷ",Diện tích: 46 m²,4 phòng ngủ,"Phố Tôn Đức Thắng,
                                    Phường Ô Chợ Dừa,
                                    Hà Nội"
"Giá: 8,2 tỷ",Diện tích: 32 m²,3 phòng ngủ,"Phố Tôn Đức Thắng,
                                    Phường Văn Miếu - Quốc Tử Giám,
                                    Hà Nội"
"Giá: 5,5 tỷ",Diện tích: 24 m²,3 phòng ngủ,"Phố Ô Đồng Lầm,
                                    Phường Kim Liên,
                                    Hà Nội"
"Giá: 11,2 tỷ",Diện tích: 36 m²,3 phòng ngủ,"Phố Hào Nam,
                                    Phường Văn Miếu - Quốc Tử Giám,
                                    Hà Nội"
"Giá: 18,6 tỷ",Diện tích: 51 m²,1 phòng ngủ,"Phố Phương Mai,
                                    Phường Kim Liên,
                                    Hà Nội"
