price,area,bedrooms,address
Giá: 20 ngàn,Diện tích: 91 m²,4 phòng ngủ,"Đường Văn Phú,
                                    Phường Kiến Hưng,
                                    Hà Nội"
"Giá: 7,99 tỷ",Diện tích: 40 m²,4 phòng ngủ,"Đường Mỗ Lao,
                                    Phường Hà Đông,
                                    Hà Nội"
"Giá: 6,5 tỷ",Diện tích: 31 m²,4 phòng ngủ,"Đường Quang Trung,
                                    Phường Hà Đông,
                                    Hà Nội"
"Giá: 18,5 tỷ",Diện tích: 45 m²,4 phòng ngủ,"Đường Quang Trung,
                                    Phường Hà Đông,
                                    Hà Nội"
Giá: 18 tỷ,Diện tích: 50 m²,4 phòng ngủ,"Đường Quang Trung,
                                    Phường Hà Đông,
                                    Hà Nội"
"Giá: 18,5 tỷ",Diện tích: 50 m²,4 phòng ngủ,"Đường Nguyễn Viết Xuân,
                                    Phường Hà Đông,
                                    Hà Nội"
"Giá: 1,68 tỷ",Diện tích: 40 m²,3 phòng ngủ,"Đường Quang Trung,
                                    Phường Phú Lương,
                                    Hà Nội"
"Giá: 7,3 tỷ",Diện tích: 33 m²,4 phòng ngủ,"Đường Lê Trọng Tấn,
                                    Phường Dương Nội,
                                    Hà Nội"
"Giá: 13,35 tỷ",Diện tích: 50 m²,6 phòng ngủ,"Đường Yên Lộ,
                                    Phường Yên Nghĩa,
                                    Hà Nội"
"Giá: 15,5 tỷ",Diện tích: 53 m²,4 phòng ngủ,"Đường Bế Văn Đàn,
                                    Phường Hà Đông,
                                    Hà Nội"
"Giá: 7,8 tỷ",Diện tích: 40 m²,5 phòng ngủ,"Đường Trần Phú,
                                    Phường Hà Đông,
                                    Hà Nội"
"Giá: 4,75 tỷ",Diện tích: 30 m²,3 phòng ngủ,"Đường Yên Lộ,
                                    Phường Hà Đông,
                                    Hà Nội"
"Giá: 11,3 tỷ",Diện tích: 50 m²,4 phòng ngủ,"Đường Quang Trung,
                                    Phường Hà Đông,
                                    Hà Nội"
Giá: 13 tỷ,Diện tích: 62 m²,5 phòng ngủ,"Phố Xa La,
                                    Phường Hà Đông,
                                    Hà Nội"
"Giá: 11,5 tỷ",Diện tích: 31 m²,4 phòng ngủ,"Đường Trần Phú,
                                    Phường Hà Đông,
                                    Hà Nội"
"Giá: 11,5 tỷ",Diện tích: 35 m²,4 phòng ngủ,"Đường Trần Phú,
                                    Phường Hà Đông,
                                    Hà Nội"
"Giá: 12,9 tỷ",Diện tích: 44 m²,4 phòng ngủ,"Đường Văn Phú,
                                    Phường Hà Đông,
                                    Hà Nội"
"Giá: 10,3 tỷ",Diện tích: 39 m²,3 phòng ngủ,"Đường Vạn Phúc,
                                    Phường Hà Đông,
                                    Hà Nội"
Giá: 15 tỷ,Diện tích: 27 m²,3 phòng ngủ,"Đường Nguyễn Trãi,
                                    Phường Hà Đông,
                                    Hà Nội"
"Giá: 13,95 tỷ",Diện tích: 43 m²,4 phòng ngủ,"Phố Nguyễn Văn Trỗi,
                                    Phường Hà Đông,
                                    Hà Nội"
"Giá: 13,35 tỷ",Diện tích: 43 m²,6 phòng ngủ,"Đường Nhuệ Giang,
                                    Phường Hà Đông,
                                    Hà Nội"
"Giá: 12,3 tỷ",Diện tích: 51 m²,2 phòng ngủ,"Đường Tô Hiệu,
                                    Phường Hà Đông,
                                    Hà Nội"
"Giá: 12,8 tỷ",Diện tích: 50 m²,4 phòng ngủ,"Đường Trần Phú,
                                    Phường Hà Đông,
                                    Hà Nội"
"Giá: 11,6 tỷ",Diện tích: 33 m²,6 phòng ngủ,"Đường Vạn Phúc,
                                    Phường Hà Đông,
                                    Hà Nội"
"Giá: 12,8 tỷ",Diện tích: 56 m²,3 phòng ngủ,"Phố Xa La,
                                    Phường Hà Đông,
                                    Hà Nội"
"Giá: 11,95 tỷ",Diện tích: 39 m²,3 phòng ngủ,"Đường Yết Kiêu,
                                    Phường Hà Đông,
                                    Hà Nội"
"Giá: 24,6 tỷ",Diện tích: 60 m²,6 phòng ngủ,"Đường Đa Sĩ,
                                    Phường Kiến Hưng,
                                    Hà Nội"
"Giá: 9,95 tỷ",Diện tích: 50 m²,2 phòng ngủ,"Đường Phú Lương,
                                    Phường Phú Lương,
                                    Hà Nội"
"Giá: 17,95 tỷ",Diện tích: 56 m²,6 phòng ngủ,"Đường Ao Sen,
                                    Phường Hà Đông,
                                    Hà Nội"
"Giá: 21,8 tỷ",Diện tích: 65 m²,4 phòng ngủ,"Phố Xa La,
                                    Phường Hà Đông,
                                    Hà Nội"
"Giá: 15,8 tỷ",Diện tích: 50 m²,2 phòng ngủ,"Đường Bà Triệu,
                                    Phường Hà Đông,
                                    Hà Nội"
"Giá: 11,8 tỷ",Diện tích: 42 m²,3 phòng ngủ,"Đường Trần Phú,
                                    Phường Hà Đông,
                                    Hà Nội"
"Giá: 8,8 tỷ",Diện tích: 50 m²,3 phòng ngủ,"Đường Tô Hiệu,
                                    Phường Hà Đông,
                                    Hà Nội"
"Giá: 13,95 tỷ",Diện tích: 50 m²,1 phòng ngủ,"Đường Vạn Phúc,
                                    Phường Hà Đông,
                                    Hà Nội"
"Giá: 17,2 tỷ",Diện tích: 50 m²,5 phòng ngủ,"Đường Lê Trọng Tấn,
                                    Phường Dương Nội,
                                    Hà Nội"
"Giá: 21,8 tỷ",Diện tích: 85 m²,6 phòng ngủ,"Đường Văn Khê,
                                    Phường Dương Nội,
                                    Hà Nội"
"Giá: 13,8 tỷ",Diện tích: 50 m²,2 phòng ngủ,"Đường Ngô Đình Mẫn,
                                    Phường Dương Nội,
                                    Hà Nội"
"Giá: 47,5 tỷ",Diện tích: 230 m²,5 phòng ngủ,"Đường Lê Trọng Tấn,
                                    Phường Dương Nội,
                                    Hà Nội"
"Giá: 12,9 tỷ",Diện tích: 58 m²,1 phòng ngủ,"Đường Ngô Quyền,
                                    Phường Dương Nội,
                                    Hà Nội"
Giá: 42 tỷ,Diện tích: 80 m²,5 phòng ngủ,"Đường Tố Hữu,
                                    Phường Dương Nội,
                                    Hà Nội"
"Giá: 13,2 tỷ",Diện tích: 202 m²,4 phòng ngủ,"Đường Nguyễn Văn Lộc,
                                    Phường Hà Đông,
                                    Hà Nội"
Giá: 36 tỷ,Diện tích: 220 m²,5 phòng ngủ,"Phố Tống Tất Thắng,
                                    Phường Kiến Hưng,
                                    Hà Nội"
"Giá: 9,1 tỷ",Diện tích: 40 m²,3 phòng ngủ,"Phố Phan Đình Giót,
                                    Phường Dương Nội,
                                    Hà Nội"
"Giá: 8,8 tỷ",Diện tích: 54 m²,4 phòng ngủ,"Đường Bà Triệu,
                                    Phường Hà Đông,
                                    Hà Nội"
Giá: 6 tỷ,Diện tích: 35 m²,4 phòng ngủ,"Đường Phúc La - Văn Phú,
                                    Phường Hà Đông,
                                    Hà Nội"
"Giá: 11,6 tỷ",Diện tích: 35 m²,4 phòng ngủ,"Đường Vạn Phúc,
                                    Phường Hà Đông,
                                    Hà Nội"
"Giá: 16,5 tỷ",Diện tích: 45 m²,4 phòng ngủ,"Đường Ngô Thì Nhậm,
                                    Phường Hà Đông,
                                    Hà Nội"
Giá: 39 tỷ,Diện tích: 180 m²,4 phòng ngủ,"Đường Phan Kế Toại,
                                    Phường Dương Nội,
                                    Hà Nội"
"Giá: 18,8 tỷ",Diện tích: 90 m²,4 phòng ngủ,"Đường Lê Trọng Tấn,
                                    Phường Kiến Hưng,
                                    Hà Nội"
"Giá: 15,5 tỷ",Diện tích: 45 m²,2 phòng ngủ,"Phố Chiến Thắng,
                                    Phường Hà Đông,
                                    Hà Nội"
Giá: 23 tỷ,Diện tích: 75 m²,5 phòng ngủ,"Đường Phúc La - Văn Phú,
                                    Phường Kiến Hưng,
                                    Hà Nội"
"Giá: 26,5 tỷ",Diện tích: 83 m²,5 phòng ngủ,"Đường An Hưng 1,
                                    Phường Dương Nội,
                                    Hà Nội"
Giá: 22 tỷ,Diện tích: 61 m²,5 phòng ngủ,"Phố Xa La,
                                    Phường Hà Đông,
                                    Hà Nội"
Giá: 7 tỷ,Diện tích: 30 m²,4 phòng ngủ,"Phố Phan Đình Giót,
                                    Phường Dương Nội,
                                    Hà Nội"
"Giá: 16,6 tỷ",Diện tích: 60 m²,5 phòng ngủ,"Đường Quang Trung,
                                    Phường Dương Nội,
                                    Hà Nội"
Giá: 28 tỷ,Diện tích: 200 m²,5 phòng ngủ,"Đường Nam Cường,
                                    Phường Dương Nội,
                                    Hà Nội"
Giá: 32 tỷ,Diện tích: 230 m²,5 phòng ngủ,"Đường Nam Cường,
                                    Phường Dương Nội,
                                    Hà Nội"
Giá: 29 tỷ,Diện tích: 170 m²,5 phòng ngủ,"Đường An Hưng 1,
                                    Phường Dương Nội,
                                    Hà Nội"
"Giá: 7,1 tỷ",Diện tích: 93 m²,3 phòng ngủ,"Đường Nguyễn Khuyến,
                                    Phường Hà Đông,
                                    Hà Nội"
Giá: 15 tỷ,Diện tích: 75 m²,6 phòng ngủ,"Đường Lê Hữu Trác,
                                    Phường Yên Nghĩa,
                                    Hà Nội"
Giá: 10 tỷ,Diện tích: 55 m²,3 phòng ngủ,"Đường Lê Trọng Tấn,
                                    Phường Dương Nội,
                                    Hà Nội"
"Giá: 7,8 tỷ",Diện tích: 35 m²,3 phòng ngủ,"Đường Quang Trung,
                                    Phường Kiến Hưng,
                                    Hà Nội"
Giá: 9 tỷ,Diện tích: 35 m²,3 phòng ngủ,"Phố Nguyễn Công Trứ,
                                    Phường Hà Đông,
                                    Hà Nội"
"Giá: 6,5 tỷ",Diện tích: 60 m²,2 phòng ngủ,"Đường Lê Trọng Tấn,
                                    Phường Dương Nội,
                                    Hà Nội"
"Giá: 17,8 tỷ",Diện tích: 50 m²,4 phòng ngủ,"Đường Lê Trọng Tấn,
                                    Phường Dương Nội,
                                    Hà Nội"
Giá: 19 tỷ,Diện tích: 63 m²,4 phòng ngủ,"Đường Phúc La - Văn Phú,
                                    Phường Kiến Hưng,
                                    Hà Nội"
"Giá: 4,9 tỷ",Diện tích: 35 m²,2 phòng ngủ,"Đường Bà Triệu,
                                    Phường Kiến Hưng,
                                    Hà Nội"
"Giá: 16,65 tỷ",Diện tích: 56 m²,4 phòng ngủ,"Đường Quang Trung,
                                    Phường Dương Nội,
                                    Hà Nội"
"Giá: 23,5 tỷ",Diện tích: 90 m²,4 phòng ngủ,"Đường Lê Trọng Tấn,
                                    Phường Kiến Hưng,
                                    Hà Nội"
"Giá: 20,2 triệu",Diện tích: 90 m²,4 phòng ngủ,"Đường Lê Trọng Tấn,
                                    Phường Kiến Hưng,
                                    Hà Nội"
"Giá: 8,3 tỷ",Diện tích: 122 m²,2 phòng ngủ,"Đường Nguyễn Văn Lộc,
                                    Phường Hà Đông,
                                    Hà Nội"
Giá: 900 triệu,Diện tích: 61 m²,2 phòng ngủ,"Đường Quang Trung,
                                    Phường Hà Đông,
                                    Hà Nội"
"Giá: 7,8 tỷ",Diện tích: 35 m²,3 phòng ngủ,"Đường Hà Trì,
                                    Phường Kiến Hưng,
                                    Hà Nội"
"Giá: 23,6 tỷ",Diện tích: 70 m²,4 phòng ngủ,"Đường Quang Trung,
                                    Phường Hà Đông,
                                    Hà Nội"
"Giá: 9,8 tỷ",Diện tích: 39 m²,4 phòng ngủ,"Đường Tô Hiệu,
                                    Phường Hà Đông,
                                    Hà Nội"
"Giá: 39,9 tỷ",Diện tích: 210 m²,4 phòng ngủ,"Đường Văn Phú,
                                    Phường Kiến Hưng,
                                    Hà Nội"
"Giá: 22,9 tỷ",Diện tích: 50 m²,3 phòng ngủ,"Đường Tố Hữu,
                                    Phường Hà Đông,
                                    Hà Nội"
Giá: 6 tỷ,Diện tích: 30 m²,3 phòng ngủ,"Đường Quang Trung,
                                    Phường Hà Đông,
                                    Hà Nội"
"Giá: 8,2 tỷ",Diện tích: 41 m²,4 phòng ngủ,"Đường Lê Trọng Tấn,
                                    Phường Dương Nội,
                                    Hà Nội"
"Giá: 27,5 tỷ",Diện tích: 170 m²,4 phòng ngủ,"Đường Tố Hữu,
                                    Phường Dương Nội,
                                    Hà Nội"
Giá: 38 tỷ / m²,Diện tích: 180 m²,4 phòng ngủ,"Đường Phan Kế Toại,
                                    Phường Dương Nội,
                                    Hà Nội"
"Giá: 23,8 tỷ / m²",Diện tích: 95 m²,6 phòng ngủ,"Đường Lê Trọng Tấn,
                                    Phường Kiến Hưng,
                                    Hà Nội"
"Giá: 22,8 tỷ",Diện tích: 50 m²,5 phòng ngủ,"Đường Lê Trọng Tấn,
                                    Phường Kiến Hưng,
                                    Hà Nội"
Giá: 28 tỷ / m²,Diện tích: 75 m²,4 phòng ngủ,"Đường Phan Kế Toại,
                                    Phường Dương Nội,
                                    Hà Nội"
"Giá: 13,3 tỷ",Diện tích: 52 m²,4 phòng ngủ,"Quốc lộ 21B,
                                    Phường Phú Lương,
                                    Hà Nội"
"Giá: 17,5 tỷ",Diện tích: 50 m²,4 phòng ngủ,"Đường Lê Trọng Tấn,
                                    Phường Dương Nội,
                                    Hà Nội"
"Giá: 16,3 tỷ",Diện tích: 40 m²,4 phòng ngủ,"Đường Ngô Thì Nhậm,
                                    Phường Hà Đông,
                                    Hà Nội"
"Giá: 7,5 tỷ",Diện tích: 38 m²,3 phòng ngủ,"Đường Bà Triệu,
                                    Phường Hà Đông,
                                    Hà Nội"
"Giá: 20,45 tỷ",Diện tích: 90 m²,4 phòng ngủ,"Đường Văn Khê,
                                    Phường Kiến Hưng,
                                    Hà Nội"
"Giá: 38,8 tỷ",Diện tích: 200 m²,4 phòng ngủ,"Đường Lê Trọng Tấn,
                                    Phường Phú Lương,
                                    Hà Nội"
"Giá: 20,8 tỷ",Diện tích: 90 m²,4 phòng ngủ,"Đường Lê Trọng Tấn,
                                    Phường Kiến Hưng,
                                    Hà Nội"
"Giá: 13,5 tỷ",Diện tích: 40 m²,N/A,"Đường Tố Hữu,
                                    Phường Hà Đông,
                                    Hà Nội"
"Giá: 19,8 tỷ",Diện tích: 77 m²,4 phòng ngủ,"Đường Lê Trọng Tấn,
                                    Phường Kiến Hưng,
                                    Hà Nội"
"Giá: 16,3 tỷ",Diện tích: 40 m²,N/A,"Đường Ngô Thì Nhậm,
                                    Phường Hà Đông,
                                    Hà Nội"
"Giá: 13,8 tỷ",Diện tích: 60 m²,4 phòng ngủ,"Quốc lộ 21B,
                                    Phường Phú Lương,
                                    Hà Nội"
"Giá: 13,3 tỷ",Diện tích: 55 m²,4 phòng ngủ,"Quốc lộ 21B,
                                    Phường Phú Lương,
                                    Hà Nội"
"Giá: 12,8 tỷ",Diện tích: 40 m²,N/A,"Đường Ngô Thì Nhậm,
                                    Phường Hà Đông,
                                    Hà Nội"
"Giá: 18,8 tỷ",Diện tích: 90 m²,4 phòng ngủ,"Đường Lê Trọng Tấn,
                                    Phường Kiến Hưng,
                                    Hà Nội"
"Giá: 19,6 tỷ",Diện tích: 66 m²,4 phòng ngủ,"Đường Nguyễn Văn Lộc,
                                    Phường Hà Đông,
                                    Hà Nội"
"Giá: 5,8 tỷ",Diện tích: 86 m²,2 phòng ngủ,"Phố Xa La,
                                    Phường Hà Đông,
                                    Hà Nội"
"Giá: 7,3 tỷ",Diện tích: 33 m²,3 phòng ngủ,"Đường Hà Trì,
                                    Phường Hà Đông,
                                    Hà Nội"
Giá: Thỏa thuận,Diện tích: 35 m²,4 phòng ngủ,"Đường Rạng Đông,
                                    Phường Chương Mỹ,
                                    Hà Nội"
"Giá: 13,1 tỷ",Diện tích: 50 m²,N/A,"Đường Văn Khê,
                                    Phường Hà Đông,
                                    Hà Nội"
"Giá: 18,6 tỷ",Diện tích: 50 m²,4 phòng ngủ,"Đường Quang Trung,
                                    Phường Hà Đông,
                                    Hà Nội"
"Giá: 16,6 tỷ",Diện tích: 50 m²,4 phòng ngủ,"Đường Văn Khê,
                                    Phường Hà Đông,
                                    Hà Nội"
"Giá: 13,5 tỷ",Diện tích: 50 m²,N/A,"Phố Nguyễn Thanh Bình,
                                    Phường Dương Nội,
                                    Hà Nội"
"Giá: 20,5 tỷ",Diện tích: 82 m²,4 phòng ngủ,"Đường An Hưng 1,
                                    Phường Dương Nội,
                                    Hà Nội"
"Giá: 15,9 tỷ",Diện tích: 50 m²,1 phòng ngủ,"Đường Hà Trì,
                                    Phường Kiến Hưng,
                                    Hà Nội"
"Giá: 29,5 tỷ",Diện tích: 100 m²,N/A,"Đường Bà Triệu,
                                    Phường Hà Đông,
                                    Hà Nội"
"Giá: 3,8 tỷ",Diện tích: 38 m²,N/A,"Đường Quốc lộ 6,
                                    Phường Hà Đông,
                                    Hà Nội"
"Giá: 17,95 tỷ",Diện tích: 98 m²,6 phòng ngủ,"Phố Lý Thường Kiệt,
                                    Phường Hà Đông,
                                    Hà Nội"
Giá: 9 tỷ,Diện tích: 80 m²,1 phòng ngủ,"Đường Bạch Thái Bưởi,
                                    Phường Hà Đông,
                                    Hà Nội"
"Giá: 7,65 tỷ",Diện tích: 110 m²,3 phòng ngủ,",
                                    Phường Hà Đông,
                                    Hà Nội"
"Giá: 18,6 tỷ",Diện tích: 95 m²,3 phòng ngủ,"Phố An Hòa,
                                    Phường Hà Đông,
                                    Hà Nội"
"Giá: 19,9 tỷ",Diện tích: 87 m²,5 phòng ngủ,"Đường Văn Khê,
                                    Phường Kiến Hưng,
                                    Hà Nội"
Giá: 17 tỷ,Diện tích: 100 m²,6 phòng ngủ,"Phố Văn Quán,
                                    Phường Hà Đông,
                                    Hà Nội"
"Giá: 21,6 tỷ",Diện tích: 85 m²,6 phòng ngủ,"Đường Văn Khê,
                                    Phường Dương Nội,
                                    Hà Nội"
"Giá: 13,9 tỷ",Diện tích: 45 m²,N/A,"Phố Chiến Thắng,
                                    Phường Hà Đông,
                                    Hà Nội"
"Giá: 13,2 tỷ",Diện tích: 45 m²,6 phòng ngủ,"Phố Chiến Thắng,
                                    Phường Hà Đông,
                                    Hà Nội"
"Giá: 6,85 tỷ",Diện tích: 40 m²,4 phòng ngủ,"Đường Trần Phú,
                                    Phường Hà Đông,
                                    Hà Nội"
"Giá: 9,6 tỷ",Diện tích: 40 m²,4 phòng ngủ,"Đường Vạn Phúc,
                                    Phường Hà Đông,
                                    Hà Nội"
Giá: 63 tỷ,Diện tích: 263 m²,2 phòng ngủ,"Đường Quang Trung,
                                    Phường Hà Đông,
                                    Hà Nội"
Giá: 8 tỷ,Diện tích: 48 m²,1 phòng ngủ,"Đường Thanh Bình,
                                    Phường Hà Đông,
                                    Hà Nội"
"Giá: 16,45 tỷ",Diện tích: 50 m²,6 phòng ngủ,"Đường Mậu Lương,
                                    Phường Kiến Hưng,
                                    Hà Nội"
"Giá: 12,8 tỷ",Diện tích: 45 m²,6 phòng ngủ,"Phố Cầu Am,
                                    Phường Hà Đông,
                                    Hà Nội"
"Giá: 6,5 tỷ",Diện tích: 40 m²,6 phòng ngủ,"Phố Cầu Am,
                                    Phường Hà Đông,
                                    Hà Nội"
"Giá: 6,5 tỷ",Diện tích: 40 m²,6 phòng ngủ,"Đường Hà Trì,
                                    Phường Hà Đông,
                                    Hà Nội"
"Giá: 8,15 tỷ",Diện tích: 40 m²,4 phòng ngủ,"Đường Thanh Bình,
                                    Phường Hà Đông,
                                    Hà Nội"
"Giá: 25,6 tỷ",Diện tích: 80 m²,6 phòng ngủ,"Đường Nguyễn Văn Lộc,
                                    Phường Hà Đông,
                                    Hà Nội"
"Giá: 52,5 tỷ",Diện tích: 177 m²,6 phòng ngủ,"Đường Nam Cường,
                                    Phường Dương Nội,
                                    Hà Nội"
"Giá: 5,95 tỷ",Diện tích: 35 m²,6 phòng ngủ,"Đường Yên Phúc,
                                    Phường Hà Đông,
                                    Hà Nội"
"Giá: 2,75 tỷ",Diện tích: 60 m²,2 phòng ngủ,"Đường Ngô Quyền,
                                    Phường Dương Nội,
                                    Hà Nội"
"Giá: 7,5 tỷ",Diện tích: 50 m²,6 phòng ngủ,"Đường Nhuệ Giang,
                                    Phường Hà Đông,
                                    Hà Nội"
"Giá: 16,5 tỷ",Diện tích: 90 m²,8 phòng ngủ,"Đường Nguyễn Khuyến,
                                    Phường Hà Đông,
                                    Hà Nội"
Giá: 10 tỷ,Diện tích: 70 m²,6 phòng ngủ,"Đường Trần Phú,
                                    Phường Hà Đông,
                                    Hà Nội"
"Giá: 14,8 tỷ",Diện tích: 34 m²,6 phòng ngủ,"Đường Ao Sen,
                                    Phường Hà Đông,
                                    Hà Nội"
"Giá: 14,5 tỷ",Diện tích: 70 m²,6 phòng ngủ,"Phố Văn Quán,
                                    Phường Hà Đông,
                                    Hà Nội"
Giá: 50 tỷ,Diện tích: 140 m²,8 phòng ngủ,"Đường Lê Trọng Tấn,
                                    Phường Dương Nội,
                                    Hà Nội"
"Giá: 11,5 tỷ",Diện tích: 38 m²,4 phòng ngủ,"Đường 18M,
                                    Phường Hà Đông,
                                    Hà Nội"
Giá: 11 tỷ,Diện tích: 36 m²,4 phòng ngủ,"Đường 18M,
                                    Phường Hà Đông,
                                    Hà Nội"
Giá: 11 tỷ,Diện tích: 36 m²,4 phòng ngủ,"Đường 18M,
                                    Phường Hà Đông,
                                    Hà Nội"
