price,area,bedrooms,address
"Giá: 10,34 tỷ",Diện tích: 50 m²,4 phòng ngủ,"Phố Võ Thị Sáu,
                                    Phường Bạch Mai,
                                    Hà Nội"
"Giá: 10,68 tỷ",Diện tích: 45 m²,3 phòng ngủ,"Phố Tạ Quang Bửu,
                                    Phường Hai Bà Trưng,
                                    Hà Nội"
"Giá: 19,5 tỷ",Diện tích: 45 m²,4 phòng ngủ,"Phố Lò Đúc,
                                    Phường Hai Bà Trưng,
                                    Hà Nội"
Giá: 30 tỷ,Diện tích: 100 m²,28 phòng ngủ,"Phố Trần Đại Nghĩa,
                                    Phường Bạch Mai,
                                    Hà Nội"
Giá: 32 tỷ,Diện tích: 100 m²,30 phòng ngủ,"Đường Trường Chinh,
                                    Phường Bạch Mai,
                                    Hà Nội"
Giá: 32 tỷ,Diện tích: 100 m²,30 phòng ngủ,"Phố Đại La,
                                    Phường Bạch Mai,
                                    Hà Nội"
"Giá: 6,45 tỷ",Diện tích: 33 m²,3 phòng ngủ,"Phố Bạch Mai,
                                    Phường Bạch Mai,
                                    Hà Nội"
"Giá: 10,6 tỷ",Diện tích: 38 m²,3 phòng ngủ,"Đường Dương Văn Bé,
                                    Phường Vĩnh Tuy,
                                    Hà Nội"
"Giá: 11,9 tỷ",Diện tích: 36 m²,4 phòng ngủ,"Phố Tạ Quang Bửu,
                                    Phường Bạch Mai,
                                    Hà Nội"
Giá: 385 tỷ,Diện tích: 360 m²,2 phòng ngủ,"Phố Huế,
                                    Phường Hai Bà Trưng,
                                    Hà Nội"
"Giá: 20,4 tỷ",Diện tích: 50 m²,6 phòng ngủ,"Phố Võ Thị Sáu,
                                    Phường Bạch Mai,
                                    Hà Nội"
"Giá: 15,3 tỷ",Diện tích: 58 m²,14 phòng ngủ,"Phố Trần Đại Nghĩa,
                                    Phường Bạch Mai,
                                    Hà Nội"
Giá: 33 tỷ,Diện tích: 100 m²,5 phòng ngủ,"Đường Minh Khai,
                                    Phường Vĩnh Tuy,
                                    Hà Nội"
"Giá: 15,6 tỷ",Diện tích: 41 m²,4 phòng ngủ,"Đường Thanh Nhàn,
                                    Phường Bạch Mai,
                                    Hà Nội"
Giá: 12 tỷ,Diện tích: 40 m²,3 phòng ngủ,"Đường Thanh Nhàn,
                                    Phường Bạch Mai,
                                    Hà Nội"
"Giá: 10,8 tỷ",Diện tích: 37 m²,3 phòng ngủ,"Phố Bạch Mai,
                                    Phường Bạch Mai,
                                    Hà Nội"
"Giá: 45,6 tỷ",Diện tích: 98 m²,5 phòng ngủ,"Phố Võ Thị Sáu,
                                    Phường Bạch Mai,
                                    Hà Nội"
"Giá: 13,5 tỷ",Diện tích: 46 m²,4 phòng ngủ,",
                                    Phường Vĩnh Tuy,
                                    Hà Nội"
Giá: 20 tỷ,Diện tích: 50 m²,2 phòng ngủ,"Phố Lạc Trung,
                                    Phường Vĩnh Tuy,
                                    Hà Nội"
"Giá: 11,95 tỷ",Diện tích: 96 m²,3 phòng ngủ,"Phố Hoa Lư,
                                    Phường Hai Bà Trưng,
                                    Hà Nội"
