price,area,bedrooms,address
Giá: 36 tỷ,Diện tích: 100 m²,1 phòng ngủ,"Đường Trần Nhật Duật,
                                    Phường Hoàn Kiếm,
                                    Hà Nội"
Giá: 53 tỷ,Diện tích: 100 m²,5 phòng ngủ,"Phố Thuốc Bắc,
                                    Phường Hoàn Kiếm,
                                    Hà Nội"
Giá: 21 tỷ,Diện tích: 34 m²,2 phòng ngủ,"Phố Hàng Muối,
                                    Phường Hoàn Kiếm,
                                    Hà Nội"
Giá: 19 tỷ,Diện tích: 38 m²,4 phòng ngủ,"Phố Hàng Vôi,
                                    Phường Hoàn Kiếm,
                                    Hà Nội"
"Giá: 11,2 tỷ",Diện tích: 45 m²,2 phòng ngủ,"Phố Phan Chu Trinh,
                                    Phường Cửa Nam,
                                    Hà Nội"
"Giá: 8,7 tỷ",Diện tích: 37 m²,2 phòng ngủ,"Phố Quán Sứ,
                                    Phường Cửa Nam,
                                    Hà Nội"
Giá: 53 tỷ,Diện tích: 100 m²,4 phòng ngủ,"Phố Hàng Gai,
                                    Phường Hoàn Kiếm,
                                    Hà Nội"
Giá: 220 tỷ,Diện tích: 172 m²,40 phòng ngủ,"Phố Hàng Bông,
                                    Phường Hoàn Kiếm,
                                    Hà Nội"
"Giá: 54,5 tỷ",Diện tích: 110 m²,4 phòng ngủ,"Phố Lý Nam Đế,
                                    Phường Hoàn Kiếm,
                                    Hà Nội"
Giá: 128 tỷ,Diện tích: 85 m²,20 phòng ngủ,"Phố Đào Duy Từ,
                                    Phường Hoàn Kiếm,
                                    Hà Nội"
"Giá: 6,2 tỷ",Diện tích: 16 m²,1 phòng ngủ,"Phố Hàng Gà,
                                    Phường Hoàn Kiếm,
                                    Hà Nội"
Giá: 81 tỷ,Diện tích: 152 m²,3 phòng ngủ,"Phố Hàng Bạc,
                                    Phường Cửa Nam,
                                    Hà Nội"
Giá: 15 tỷ,Diện tích: 31 m²,2 phòng ngủ,"Phố Phùng Hưng,
                                    Phường Hoàn Kiếm,
                                    Hà Nội"
Giá: 71 tỷ,Diện tích: 76 m²,14 phòng ngủ,"Phố Đào Duy Từ,
                                    Phường Hoàn Kiếm,
                                    Hà Nội"
Giá: 320 tỷ,Diện tích: 132 m²,35 phòng ngủ,"Phố Hàng Trống,
                                    Phường Hoàn Kiếm,
                                    Hà Nội"
Giá: 72 tỷ,Diện tích: 60 m²,5 phòng ngủ,"Phố Hàng Thùng,
                                    Phường Hoàn Kiếm,
                                    Hà Nội"
Giá: 290 tỷ,Diện tích: 340 m²,30 phòng ngủ,"Phố Bà Triệu,
                                    Phường Hoàn Kiếm,
                                    Hà Nội"
Giá: 31 tỷ,Diện tích: 104 m²,4 phòng ngủ,"Phố Thanh Hà,
                                    Phường Hoàn Kiếm,
                                    Hà Nội"
Giá: 47 tỷ,Diện tích: 44 m²,4 phòng ngủ,"Phố Hàng Mã,
                                    Phường Hoàn Kiếm,
                                    Hà Nội"
Giá: 250 tỷ,Diện tích: 250 m²,22 phòng ngủ,"Đường Trần Hưng Đạo,
                                    Phường Cửa Nam,
                                    Hà Nội"
Giá: 32 tỷ,Diện tích: 30 m²,4 phòng ngủ,"Phố Hà Trung,
                                    Phường Hoàn Kiếm,
                                    Hà Nội"
Giá: 285 tỷ,Diện tích: 257 m²,1 phòng ngủ,"Phố Bà Triệu,
                                    Phường Cửa Nam,
                                    Hà Nội"
Giá: 133 tỷ,Diện tích: 95 m²,9 phòng ngủ,"Phố Hà Trung,
                                    Phường Hoàn Kiếm,
                                    Hà Nội"
