price,area,bedrooms,address
Giá: 62 tỷ,Diện tích: 260 m²,6 phòng ngủ,"Đường Linh Đàm,
                                    Phường Hoàng Liệt,
                                    Hà Nội"
"Giá: 17,9 tỷ",Diện tích: 72 m²,9 phòng ngủ,"Đường Vũ Tông Phan,
                                    Phường Định Công,
                                    Hà Nội"
Giá: 8 tỷ,Diện tích: 33 m²,4 phòng ngủ,"Đường Yên Duyên,
                                    Phường Yên Sở,
                                    Hà Nội"
"Giá: 25,5 tỷ",Diện tích: 86 m²,4 phòng ngủ,"Đường Kim Giang,
                                    Phường Hoàng Liệt,
                                    Hà Nội"
"Giá: 19,5 tỷ",Diện tích: 65 m²,4 phòng ngủ,"Đường Linh Đàm,
                                    Phường Hoàng Liệt,
                                    Hà Nội"
"Giá: 28,9 tỷ",Diện tích: 85 m²,5 phòng ngủ,"Đường Linh Đàm,
                                    Phường Hoàng Liệt,
                                    Hà Nội"
"Giá: 8,5 tỷ",Diện tích: 40 m²,6 phòng ngủ,"Đường Lĩnh Nam,
                                    Phường Tương Mai,
                                    Hà Nội"
Giá: 56 tỷ,Diện tích: 110 m²,15 phòng ngủ,"Đường  Hồ Đền Lừ,
                                    Phường Tương Mai,
                                    Hà Nội"
Giá: 68 tỷ,Diện tích: 250 m²,6 phòng ngủ,"Đường Vĩnh Hoàng,
                                    Phường Tương Mai,
                                    Hà Nội"
Giá: 12 tỷ,Diện tích: 45 m²,6 phòng ngủ,"Phố Tân Mai,
                                    Phường Hoàng Mai,
                                    Hà Nội"
Giá: 9 tỷ,Diện tích: 40 m²,3 phòng ngủ,"Đường Giáp Bát,
                                    Phường Tương Mai,
                                    Hà Nội"
"Giá: 22,8 tỷ",Diện tích: 68 m²,21 phòng ngủ,"Đường Tam Trinh,
                                    Phường Vĩnh Tuy,
                                    Hà Nội"
"Giá: 31,5 tỷ",Diện tích: 100 m²,4 phòng ngủ,"Phố Tân Mai,
                                    Phường Tương Mai,
                                    Hà Nội"
"Giá: 7,3 tỷ",Diện tích: 31 m²,3 phòng ngủ,"Đường Nguyễn Khoái,
                                    Phường Lĩnh Nam,
                                    Hà Nội"
"Giá: 6,35 tỷ",Diện tích: 25 m²,3 phòng ngủ,"Phố Đại Từ,
                                    Phường Định Công,
                                    Hà Nội"
Giá: 12 tỷ,Diện tích: 60 m²,1 phòng ngủ,"Đường Tam Trinh,
                                    Phường Vĩnh Tuy,
                                    Hà Nội"
Giá: 12 tỷ,Diện tích: 60 m²,1 phòng ngủ,"Đường Tam Trinh,
                                    Phường Vĩnh Tuy,
                                    Hà Nội"
"Giá: 26,8 tỷ",Diện tích: 55 m²,5 phòng ngủ,"Đường Lương Khánh Thiện,
                                    Phường Tương Mai,
                                    Hà Nội"
Giá: 5 tỷ,Diện tích: 27 m²,2 phòng ngủ,"Đường Tam Trinh,
                                    Phường Vĩnh Tuy,
                                    Hà Nội"
