price,area,bedrooms,address
Giá: 42 tỷ,Diện tích: 202 m²,N/A,"Đường Sài Đồng,
                                    Phường Phúc Lợi,
                                    Hà Nội"
Giá: 44 tỷ,Diện tích: 150 m²,N/A,"Đường Ngô Gia Tự,
                                    Phường Việt Hưng,
                                    Hà Nội"
Giá: 40 tỷ,Diện tích: 175 m²,N/A,"Đường Sài Đồng,
                                    Phường Phúc Lợi,
                                    Hà Nội"
Giá: 15 tỷ,Diện tích: 97 m²,4 phòng ngủ,"Đường Nguyễn Văn Cừ,
                                    Phường Bồ Đề,
                                    Hà Nội"
"Giá: 20,6 tỷ",Diện tích: 91 m²,N/A,",
                                    Phường Long Biên,
                                    Hà Nội"
"Giá: 3,75 tỷ",Diện tích: 47 m²,N/A,"Đường Phúc Lợi,
                                    Phường Phúc Lợi,
                                    Hà Nội"
"Giá: 8,45 tỷ",Diện tích: 50 m²,N/A,"Đường Bát Khối,
                                    Phường Long Biên,
                                    Hà Nội"
Giá: 37 tỷ,Diện tích: 100 m²,4 phòng ngủ,"Đường Thanh Am,
                                    Phường Việt Hưng,
                                    Hà Nội"
"Giá: 12,6 tỷ",Diện tích: 52 m²,4 phòng ngủ,"Phố Trạm,
                                    Phường Long Biên,
                                    Hà Nội"
Giá: 13 tỷ,Diện tích: 90 m²,3 phòng ngủ,"Đường Ngọc Lâm,
                                    Phường Bồ Đề,
                                    Hà Nội"
"Giá: 25,5 tỷ",Diện tích: 100 m²,4 phòng ngủ,"Đường Sài Đồng,
                                    Phường Phúc Lợi,
                                    Hà Nội"
Giá: 26 tỷ,Diện tích: 61 m²,4 phòng ngủ,",
                                    Phường Long Biên,
                                    Hà Nội"
Giá: 8 tỷ,Diện tích: 50 m²,4 phòng ngủ,"Đường Sài Đồng,
                                    Phường Phúc Lợi,
                                    Hà Nội"
Giá: 8 tỷ,Diện tích: 51 m²,4 phòng ngủ,"Đường Sài Đồng,
                                    Phường Phúc Lợi,
                                    Hà Nội"
Giá: 7 tỷ,Diện tích: 50 m²,6 phòng ngủ,"Đường Phúc Lợi,
                                    Phường Phúc Lợi,
                                    Hà Nội"
Giá: 7 tỷ,Diện tích: 35 m²,4 phòng ngủ,"Đường Trường Lâm,
                                    Phường Việt Hưng,
                                    Hà Nội"
"Giá: 8,9 tỷ",Diện tích: 35 m²,3 phòng ngủ,"Đường Ngọc Lâm,
                                    Phường Bồ Đề,
                                    Hà Nội"
Giá: 6 tỷ,Diện tích: 36 m²,3 phòng ngủ,"Đường Cổ Linh,
                                    Phường Long Biên,
                                    Hà Nội"
"Giá: 7,6 tỷ",Diện tích: 36 m²,3 phòng ngủ,"Đường Đào Đình Luyện,
                                    Phường Việt Hưng,
                                    Hà Nội"
Giá: 10 tỷ,Diện tích: 50 m²,N/A,"Phố Bồ Đề,
                                    Phường Bồ Đề,
                                    Hà Nội"
"Giá: 8,6 tỷ",Diện tích: 50 m²,4 phòng ngủ,"Đường Đức Giang,
                                    Phường Việt Hưng,
                                    Hà Nội"
"Giá: 10,5 tỷ",Diện tích: 70 m²,5 phòng ngủ,"Đường Cổ Linh,
                                    Phường Long Biên,
                                    Hà Nội"
Giá: 12 tỷ,Diện tích: 40 m²,4 phòng ngủ,"Đường Thanh Am,
                                    Phường Việt Hưng,
                                    Hà Nội"
Giá: 12 tỷ,Diện tích: 54 m²,N/A,"Đường Chu Huy Mân,
                                    Phường Long Biên,
                                    Hà Nội"
Giá: 56 tỷ,Diện tích: 110 m²,5 phòng ngủ,"Phố Hồng Tiến,
                                    Phường Bồ Đề,
                                    Hà Nội"
"Giá: 7,65 tỷ",Diện tích: 60 m²,N/A,"Đường Bát Khối,
                                    Phường Long Biên,
                                    Hà Nội"
Giá: 60 tỷ,Diện tích: 120 m²,5 phòng ngủ,"Đường Lâm Hạ,
                                    Phường Bồ Đề,
                                    Hà Nội"
"Giá: 49,6 tỷ",Diện tích: 180 m²,5 phòng ngủ,"Đường Nguyệt Quế,
                                    Phường Phúc Lợi,
                                    Hà Nội"
Giá: 115 tỷ,Diện tích: 315 m²,N/A,"Đường Anh Đào,
                                    Phường Phúc Lợi,
                                    Hà Nội"
Giá: 88 tỷ,Diện tích: 324 m²,N/A,"Đường Nguyệt Quế,
                                    Phường Phúc Lợi,
                                    Hà Nội"
Giá: 350 tỷ,Diện tích: 800 m²,5 phòng ngủ,"Đường Bằng Lăng,
                                    Phường Phúc Lợi,
                                    Hà Nội"
"Giá: 9,9 tỷ",Diện tích: 38 m²,4 phòng ngủ,"Đường Ngọc Thụy,
                                    Phường Bồ Đề,
                                    Hà Nội"
