price,area,bedrooms,address
"Giá: 8,5 tỷ",Diện tích: 42 m²,8 phòng ngủ,"Đường Mỹ Đình,
                                    Phường Từ Liêm,
                                    Hà Nội"
Giá: 50 tỷ,Diện tích: 98 m²,6 phòng ngủ,"Đường Lưu Hữu Phước,
                                    Phường Từ Liêm,
                                    Hà Nội"
"Giá: 5,2 tỷ",Diện tích: 46 m²,4 phòng ngủ,"Đường Trịnh Văn Bô,
                                    Phường Xuân Phương,
                                    Hà Nội"
"Giá: 6,8 tỷ",Diện tích: 38 m²,3 phòng ngủ,"Phố Hòe Thị,
                                    Phường Xuân Phương,
                                    Hà Nội"
Giá: 6 tỷ,Diện tích: 31 m²,3 phòng ngủ,"Đường 70,
                                    Phường Xuân Phương,
                                    Hà Nội"
Giá: 134 tỷ,Diện tích: 210 m²,10 phòng ngủ,"Đường Mỹ Đình,
                                    Phường Từ Liêm,
                                    Hà Nội"
"Giá: 7,65 tỷ",Diện tích: 50 m²,N/A,"Đường Ngọc Đại,
                                    Phường Đại Mỗ,
                                    Hà Nội"
"Giá: 9,35 tỷ",Diện tích: 35 m²,3 phòng ngủ,"Đường Phùng Khoang,
                                    Phường Đại Mỗ,
                                    Hà Nội"
"Giá: 11,25 tỷ",Diện tích: 45 m²,4 phòng ngủ,"Đường Tố Hữu,
                                    Phường Đại Mỗ,
                                    Hà Nội"
"Giá: 6,5 tỷ",Diện tích: 70 m²,3 phòng ngủ,"Đường Đình Thôn,
                                    Phường Từ Liêm,
                                    Hà Nội"
"Giá: 38,99 tỷ",Diện tích: 105 m²,5 phòng ngủ,"Đường Nguyễn Cơ Thạch,
                                    Phường Từ Liêm,
                                    Hà Nội"
"Giá: 31,8 tỷ",Diện tích: 131 m²,5 phòng ngủ,"Đường Phùng Khoang,
                                    Phường Đại Mỗ,
                                    Hà Nội"
Giá: 32 tỷ,Diện tích: 114 m²,5 phòng ngủ,"Đường Phùng Khoang,
                                    Phường Đại Mỗ,
                                    Hà Nội"
"Giá: 13,6 tỷ",Diện tích: 50 m²,9 phòng ngủ,"Đường Mễ Trì Thượng,
                                    Phường Từ Liêm,
                                    Hà Nội"
"Giá: 25,7 tỷ",Diện tích: 81 m²,N/A,"Đường Mễ Trì Thượng,
                                    Phường Từ Liêm,
                                    Hà Nội"
"Giá: 6,15 tỷ",Diện tích: 69 m²,2 phòng ngủ,"Đường Đình Thôn,
                                    Phường Từ Liêm,
                                    Hà Nội"
"Giá: 6,9 tỷ",Diện tích: 87 m²,2 phòng ngủ,"Phố Nguyễn Văn Giáp,
                                    Phường Từ Liêm,
                                    Hà Nội"
Giá: 6 tỷ,Diện tích: 30 m²,4 phòng ngủ,"Đường Cầu Diễn,
                                    Phường Từ Liêm,
                                    Hà Nội"
"Giá: 14,6 tỷ",Diện tích: 82 m²,N/A,"Đường Đình Thôn,
                                    Phường Từ Liêm,
                                    Hà Nội"
Giá: 60 tỷ,Diện tích: 140 m²,6 phòng ngủ,"Đường Nguyễn Đổng Chi,
                                    Phường Từ Liêm,
                                    Hà Nội"
"Giá: 46,6 tỷ",Diện tích: 126 m²,3 phòng ngủ,"Đường Nguyễn Đổng Chi,
                                    Phường Từ Liêm,
                                    Hà Nội"
"Giá: 62,4 tỷ",Diện tích: 176 m²,10 phòng ngủ,"Đường Nguyễn Đổng Chi,
                                    Phường Từ Liêm,
                                    Hà Nội"
"Giá: 6,9 tỷ",Diện tích: 38 m²,3 phòng ngủ,"Đường Tây Mỗ,
                                    Phường Tây Mỗ,
                                    Hà Nội"
"Giá: 15,6 tỷ",Diện tích: 55 m²,3 phòng ngủ,"Đường Đình Thôn,
                                    Phường Từ Liêm,
                                    Hà Nội"
"Giá: 4,89 tỷ",Diện tích: 58 m²,2 phòng ngủ,"Đường Xuân Phương,
                                    Phường Xuân Phương,
                                    Hà Nội"
"Giá: 5,78 tỷ",Diện tích: 70 m²,3 phòng ngủ,"Đường Xuân Phương,
                                    Phường Xuân Phương,
                                    Hà Nội"
"Giá: 5,25 tỷ",Diện tích: 60 m²,2 phòng ngủ,"Đường Xuân Phương,
                                    Phường Xuân Phương,
                                    Hà Nội"
