price,area,bedrooms,address
"Giá: 39,5 tỷ",Diện tích: 80 m²,28 phòng ngủ,"Đường An Dương Vương,
                                    Phường Phú Thượng,
                                    Hà Nội"
Giá: 588 triệu / m²,Diện tích: 110 m²,4 phòng ngủ,"Đường Đặng Thai Mai,
                                    Phường Tây Hồ,
                                    Hà Nội"
Giá: 130 tỷ,Diện tích: 200 m²,N/A,"Đường Lạc Long Quân,
                                    Phường Tây Hồ,
                                    Hà Nội"
Giá: 36 tỷ,Diện tích: 70 m²,6 phòng ngủ,"Đường Từ Hoa,
                                    Phường Tây Hồ,
                                    Hà Nội"
Giá: 120 tỷ,Diện tích: 345 m²,50 phòng ngủ,"Đường Lạc Long Quân,
                                    Phường Tây Hồ,
                                    Hà Nội"
Giá: 86 tỷ,Diện tích: 166 m²,1 phòng ngủ,"Đường Lạc Long Quân,
                                    Phường Tây Hồ,
                                    Hà Nội"
Giá: 98 tỷ,Diện tích: 140 m²,1 phòng ngủ,"Đường Lạc Long Quân,
                                    Phường Tây Hồ,
                                    Hà Nội"
Giá: 85 tỷ,Diện tích: 236 m²,2 phòng ngủ,"Đường Lạc Long Quân,
                                    Phường Tây Hồ,
                                    Hà Nội"
Giá: 16 tỷ,Diện tích: 40 m²,4 phòng ngủ,"Phố Võng Thị,
                                    Phường Tây Hồ,
                                    Hà Nội"
Giá: 60 tỷ,Diện tích: 75 m²,2 phòng ngủ,"Đường Thụy Khuê,
                                    Phường Tây Hồ,
                                    Hà Nội"
Giá: 12 tỷ,Diện tích: 106 m²,3 phòng ngủ,"Đường Hoàng Quốc Việt,
                                    Phường Tây Hồ,
                                    Hà Nội"
Giá: 33 tỷ,Diện tích: 120 m²,6 phòng ngủ,"Đường An Dương Vương,
                                    Phường Phú Thượng,
                                    Hà Nội"
Giá: 75 tỷ,Diện tích: 85 m²,10 phòng ngủ,"Đường Lạc Long Quân,
                                    Phường Tây Hồ,
                                    Hà Nội"
Giá: 25 tỷ,Diện tích: 51 m²,4 phòng ngủ,"Đường Lạc Long Quân,
                                    Phường Tây Hồ,
                                    Hà Nội"
Giá: 160 tỷ,Diện tích: 168 m²,8 phòng ngủ,"Đường Nguyễn Đình Thi,
                                    Phường Tây Hồ,
                                    Hà Nội"
"Giá: 10,8 tỷ",Diện tích: 52 m²,4 phòng ngủ,"Đường Phú Thượng,
                                    Phường Phú Thượng,
                                    Hà Nội"
Giá: 9 tỷ,Diện tích: 130 m²,3 phòng ngủ,"Đường An Dương Vương,
                                    Phường Phú Thượng,
                                    Hà Nội"
"Giá: 32,5 tỷ",Diện tích: 100 m²,4 phòng ngủ,"Đường Lạc Long Quân,
                                    Phường Hồng Hà,
                                    Hà Nội"
Giá: 65 tỷ,Diện tích: 162 m²,4 phòng ngủ,"Đường Lạc Long Quân,
                                    Phường Tây Hồ,
                                    Hà Nội"
"Giá: 39,5 tỷ",Diện tích: 168 m²,5 phòng ngủ,"Phố Trích Sài,
                                    Phường Tây Hồ,
                                    Hà Nội"
"Giá: 47,5 tỷ",Diện tích: 230 m²,5 phòng ngủ,"Đường Xuân Diệu,
                                    Phường Hồng Hà,
                                    Hà Nội"
Giá: 45 tỷ,Diện tích: 112 m²,7 phòng ngủ,"Đường Quảng An,
                                    Phường Tây Hồ,
                                    Hà Nội"
Giá: 35 tỷ,Diện tích: 70 m²,6 phòng ngủ,"Đường Hoàng Hoa Thám,
                                    Phường Tây Hồ,
                                    Hà Nội"
