price,area,bedrooms,address
"Giá: 13,8 tỷ",Diện tích: 50 m²,4 phòng ngủ,"Đường Khương Đình,
                                    Phường Khương Đình,
                                    Hà Nội"
Giá: 54 tỷ,Diện tích: 125 m²,8 phòng ngủ,"Phố Vũ Hữu,
                                    Phường Thanh Xuân,
                                    Hà Nội"
Giá: 16 tỷ,Diện tích: 66 m²,4 phòng ngủ,"Phố Vương Thừa Vũ,
                                    Phường Khương Đình,
                                    Hà Nội"
Giá: 79 tỷ,Diện tích: 120 m²,N/A,"Đường Lê Văn Lương,
                                    Phường Thanh Xuân,
                                    Hà Nội"
Giá: 11 tỷ,Diện tích: 112 m²,3 phòng ngủ,"Đường Lê Văn Thiêm,
                                    Phường Thanh Xuân,
                                    Hà Nội"
"Giá: 8,68 tỷ",Diện tích: 30 m²,3 phòng ngủ,"Đường Khương Trung,
                                    Phường Khương Đình,
                                    Hà Nội"
"Giá: 14,4 tỷ",Diện tích: 61 m²,5 phòng ngủ,"Phố Tô Vĩnh Diện,
                                    Phường Khương Đình,
                                    Hà Nội"
"Giá: 15,3 tỷ",Diện tích: 101 m²,1 phòng ngủ,"Đường Khương Trung,
                                    Phường Khương Đình,
                                    Hà Nội"
"Giá: 9,6 tỷ",Diện tích: 45 m²,4 phòng ngủ,"Đường Khương Trung,
                                    Phường Khương Đình,
                                    Hà Nội"
"Giá: 11,8 tỷ",Diện tích: 45 m²,3 phòng ngủ,"Phố Lê Trọng Tấn,
                                    Phường Phương Liệt,
                                    Hà Nội"
"Giá: 8,6 tỷ",Diện tích: 40 m²,4 phòng ngủ,"Đường Khương Đình,
                                    Phường Khương Đình,
                                    Hà Nội"
"Giá: 10,45 tỷ",Diện tích: 35 m²,3 phòng ngủ,"Phố Phan Đình Giót,
                                    Phường Phương Liệt,
                                    Hà Nội"
"Giá: 24,95 tỷ",Diện tích: 48 m²,4 phòng ngủ,"Đường Nguyễn Xiển,
                                    Phường Thanh Xuân,
                                    Hà Nội"
Giá: 75 tỷ,Diện tích: 125 m²,3 phòng ngủ,"Đường Lê Văn Lương,
                                    Phường Thanh Xuân,
                                    Hà Nội"
"Giá: 6,7 tỷ",Diện tích: 55 m²,1 phòng ngủ,"Đường Nguyễn Trãi,
                                    Phường Khương Đình,
                                    Hà Nội"
Giá: 90 triệu / m²,Diện tích: 78 m²,2 phòng ngủ,"Đường Giải Phóng,
                                    Phường Phương Liệt,
                                    Hà Nội"
"Giá: 13,2 tỷ",Diện tích: 110 m²,3 phòng ngủ,"Đường Nguyễn Trãi,
                                    Phường Thanh Xuân,
                                    Hà Nội"
"Giá: 8,2 tỷ",Diện tích: 50 m²,9 phòng ngủ,"Phố Chính Kinh,
                                    Phường Thanh Xuân,
                                    Hà Nội"
"Giá: 17,02 tỷ",Diện tích: 88 m²,18 phòng ngủ,"Đường Nguyễn Trãi,
                                    Phường Thanh Xuân,
                                    Hà Nội"
"Giá: 3,8 tỷ",Diện tích: 32 m²,1 phòng ngủ,"Đường Nguyễn Trãi,
                                    Phường Thanh Xuân,
                                    Hà Nội"
