,price,area,bedrooms,latitude,longitude
0,24.0,40,4.0,20.8375079,106.7006624
1,10.5,42,3.0,21.0308599,105.8166626
2,6.5,22,3.0,21.0403773,105.8463581
3,14.6,42,4.0,21.0293108,105.8400223
4,15.0,55,6.0,21.0257605,105.8130654
5,65.0,100,10.0,21.0382278,105.8104991
6,70.0,100,1.0,21.0401934,105.8477013
7,9.2,35,3.0,21.0350221,105.8237481
8,7.25,47,4.0,21.0132247,105.8356425
10,15.0,46,6.0,21.0350221,105.8237481
11,7.6,16,2.0,21.0299786,105.8400632
12,18.0,52,7.0,21.0350221,105.8237481
13,49.0,70,1.0,21.0460215,105.8410062
14,17.0,50,7.0,10.7508081,106.6757438
15,10.0,48,4.0,21.0308599,105.8166626
16,15.0,55,3.0,10.7508081,106.6757438
17,20.0,55,3.0,21.0308599,105.8166626
18,10.5,37,3.0,21.034913,105.81013
19,9.9,30,3.0,21.0350221,105.8237481
21,11.0,57,4.0,21.0308599,105.8166626
22,16.4,59,4.0,21.0202025,105.8075809
23,16.3,60,4.0,21.021617,105.8119248
24,65.0,100,5.0,20.8375079,106.7006624
25,7.95,40,3.0,21.0340746,105.8271402
26,16.8,53,3.0,21.0267835,105.8178095
27,16.0,48,5.0,21.0308599,105.8166626
28,165.0,121,40.0,21.0467453,105.8438118
29,15.5,52,5.0,21.0267835,105.8178095
30,14.85,30,3.0,21.0401934,105.8477013
31,5.9,20,3.0,21.0350221,105.8237481
32,113.0,145,4.0,21.0350221,105.8237481
33,35.0,115,26.0,21.060668,105.7731226
34,9.7,35,3.0,21.0350221,105.8237481
35,5.95,22,2.0,21.0350221,105.8237481
36,4.0,25,2.0,21.0350221,105.8237481
37,21.9,70,4.0,10.7508081,106.6757438
38,69.5,295,6.0,21.0308599,105.8166626
39,10.9,30,3.0,21.0308599,105.8166626
40,6.5,22,3.0,21.0350221,105.8237481
41,41.6,120,28.0,10.7508081,106.6757438
43,48.0,156,32.0,21.0382278,105.8104991
44,46.0,145,27.0,21.0267835,105.8178095
45,51.0,163,32.0,21.0257605,105.8130654
46,54.0,171,32.0,10.7508081,106.6757438
47,55.0,186,22.0,21.0183256,105.8160795
48,57.0,191,32.0,21.0308599,105.8166626
49,66.0,207,44.0,21.0267835,105.8178095
50,68.0,213,44.0,21.0382278,105.8104991
51,73.0,226,44.0,21.0257605,105.8130654
