price,area,bedrooms,address,address_clean,street,street_for_geo,location,latitude,longitude
24.0,40,4.0,"Phố Văn Cao,
                                    Phường Ngọc Hà,
                                    Hà Nội","Phố Văn Cao, Phường Ngọc Hà, Hà Nội",Phố Văn Cao,"Phố Văn Cao, Việt Nam","Phố Văn Cao, Đồng Quốc Bình, Phường Gia Viên, Thành phố Hải Phòng, 18000, Việt Nam",20.8375079,106.7006624
10.5,42,3.0,"Đường Kim Mã,
                                    Phường Ngọc Hà,
                                    Hà Nội","Đường Kim Mã, Phường Ngọc Hà, Hà Nội",Đường Kim Mã,"Đường Kim Mã, Việt Nam","Số nhà 2/2C khu Ngoại Giao Đoàn, phố Kim Mã đường dưới, Phố Kim Mã, Phường Ngọc Hà, Thành phố Hà Nội, 11119, Việt Nam",21.0308599,105.8166626
6.5,22,3.0,"Phố Quán Thánh,
                                    Phường Ba Đình,
                                    Hà Nội","Phố Quán Thánh, Phường Ba Đình, Hà Nội",Phố Quán Thánh,"Phố Quán Thánh, Việt Nam","Phố Quán Thánh, Hoè Nhai, Phường Ba Đình, Thành phố Hà Nội, 11120, Việt Nam",21.0403773,105.8463581
14.6,42,4.0,"Phố Nguyễn Thái Học,
                                    Phường Ba Đình,
                                    Hà Nội","Phố Nguyễn Thái Học, Phường Ba Đình, Hà Nội",Phố Nguyễn Thái Học,"Phố Nguyễn Thái Học, Việt Nam","Phố Nguyễn Thái Học, Phường Ba Đình, Thành phố Hà Nội, 11120, Việt Nam",21.0293108,105.8400223
15.0,55,6.0,"Đường Ngọc Hà,
                                    Phường Ba Đình,
                                    Hà Nội","Đường Ngọc Hà, Phường Ba Đình, Hà Nội",Đường Ngọc Hà,"Đường Ngọc Hà, Việt Nam","Đài Truyền hình Việt Nam, 43, Đường Nguyễn Chí Thanh, Ngọc Khánh, Phường Giảng Võ, Thành phố Hà Nội, 10067, Việt Nam",21.0257605,105.8130654
65.0,100,10.0,"Phố Linh Lang,
                                    Phường Ngọc Hà,
                                    Hà Nội","Phố Linh Lang, Phường Ngọc Hà, Hà Nội",Phố Linh Lang,"Phố Linh Lang, Việt Nam","Phố Linh Lang, Kim Mã Thượng, Phường Ngọc Hà, Thành phố Hà Nội, 11119, Việt Nam",21.0382278,105.8104991
70.0,100,1.0,"Phố Hàng Than,
                                    Phường Ba Đình,
                                    Hà Nội","Phố Hàng Than, Phường Ba Đình, Hà Nội",Phố Hàng Than,"Phố Hàng Than, Việt Nam","Phố Hàng Than, Hoè Nhai, Phường Ba Đình, Thành phố Hà Nội, 11120, Việt Nam",21.0401934,105.8477013
9.2,35,3.0,"Phố Đội cấn,
                                    Phường Ba Đình,
                                    Hà Nội","Phố Đội cấn, Phường Ba Đình, Hà Nội",Phố Đội cấn,"Phố Đội cấn, Việt Nam","Phố Đội Cấn, Ngọc Hà, Phường Ngọc Hà, Thành phố Hà Nội, 11119, Việt Nam",21.0350221,105.8237481
7.25,47,4.0,"Đường Đê La Thành,
                                    Phường Ba Đình,
                                    Hà Nội","Đường Đê La Thành, Phường Ba Đình, Hà Nội",Đường Đê La Thành,"Đường Đê La Thành, Việt Nam","Đường Đê La Thành, Kim Liên, Phường Văn Miếu - Quốc Tử Giám, Thành phố Hà Nội, 11508, Việt Nam",21.0132247,105.8356425
,27,1.0,"Phố Phúc Xá,
                                    Phường Hồng Hà,
                                    Hà Nội","Phố Phúc Xá, Phường Hồng Hà, Hà Nội",Phố Phúc Xá,"Phố Phúc Xá, Việt Nam","Phố Phúc Xá, Phúc Xá, Phường Hồng Hà, Thành phố Hà Nội, 11025, Việt Nam",21.0442636,105.8500241
15.0,46,6.0,"Phố Đội cấn,
                                    Phường Ngọc Hà,
                                    Hà Nội","Phố Đội cấn, Phường Ngọc Hà, Hà Nội",Phố Đội cấn,"Phố Đội cấn, Việt Nam","Phố Đội Cấn, Ngọc Hà, Phường Ngọc Hà, Thành phố Hà Nội, 11119, Việt Nam",21.0350221,105.8237481
